candidate_id,wall_candidate_id,cooler_candidate_id,lane,case_id,split_role,candidate_mdot_abs_error_pct,m3_mdot_abs_error_pct,candidate_tp_rmse_K,m3_tp_rmse_K,candidate_tw_rmse_K,m3_tw_rmse_K,candidate_all_probe_rmse_K,m3_all_probe_rmse_K,mdot_delta_vs_m3_pct,tp_delta_vs_m3_K,tw_delta_vs_m3_K,all_probe_delta_vs_m3_K,score_gate
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,HIW1_heated_incline_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_3,validation,21.45855454,15.857,45.65316441,14.06,63.71513802,19.332,58.67115137,17.749,5.60155454,31.59316441,44.38313802,40.92215137,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,HIW1_heated_incline_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_4,holdout,24.3994292,19.626,57.56743302,13.056,72.38725145,18.623,68.10336933,16.971,4.7734292,44.51143302,53.76425145,51.13236933,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW1_heated_incline_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_3,validation,21.45416302,15.857,45.64356844,14.06,63.72318812,19.332,58.67482874,17.749,5.59716302,31.58356844,44.39118812,40.92582874,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW1_heated_incline_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_4,holdout,24.3958158,19.626,57.55912607,13.056,72.39241638,18.623,68.10494954,16.971,4.7698158,44.50312607,53.76941638,51.13394954,fail
HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,HIW2_heated_incline_outer_surface_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_3,validation,6.403398391,15.857,20.20801145,14.06,62.77122072,19.332,53.25898181,17.749,-9.453601609,6.14801145,43.43922072,35.50998181,fail
HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,HIW2_heated_incline_outer_surface_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_4,holdout,0.2856463769,19.626,32.77097653,13.056,67.01567616,18.623,58.50843629,16.971,-19.34035362,19.71497653,48.39267616,41.53743629,fail
HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW2_heated_incline_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_3,validation,6.40984134,15.857,20.19756332,14.06,62.78855588,19.332,53.27179018,17.749,-9.44715866,6.13756332,43.45655588,35.52279018,fail
HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW2_heated_incline_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_4,holdout,0.290736286,19.626,32.7617306,13.056,67.0285279,18.623,58.51693881,16.971,-19.33526371,19.7057306,48.4055279,41.54593881,fail
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,TSC1_test_section_only_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_3,validation,0.146962798,15.857,25.91218417,14.06,61.74161549,19.332,53.20332717,17.749,-15.7100372,11.85218417,42.40961549,35.45432717,fail
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,TSC1_test_section_only_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_4,holdout,6.712008354,19.626,39.594614,13.056,67.32997444,18.623,60.0547913,16.971,-12.91399165,26.538614,48.70697444,43.0837913,fail
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC1_test_section_only_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_3,validation,0.1411717123,15.857,25.90200409,14.06,61.75701909,19.332,53.21406801,17.749,-15.71582829,11.84200409,42.42501909,35.46506801,fail
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC1_test_section_only_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_4,holdout,6.707478499,19.626,39.58577677,13.056,67.34072137,18.623,60.06125462,16.971,-12.9185215,26.52977677,48.71772137,43.09025462,fail
TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,TSC2_test_section_only_outer_surface_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_3,validation,6.675596619,15.857,14.19911638,14.06,64.78692865,19.332,54.3017506,17.749,-9.181403381,0.13911638,45.45492865,36.5527506,fail
TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,TSC2_test_section_only_outer_surface_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_4,holdout,0.1213367096,19.626,26.81489144,13.056,67.62910831,18.623,58.04408412,16.971,-19.50466329,13.75889144,49.00610831,41.07308412,fail
TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC2_test_section_only_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_3,validation,6.681465102,15.857,14.18844226,14.06,64.80724243,19.332,54.31754139,17.749,-9.175534898,0.12844226,45.47524243,36.56854139,fail
TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC2_test_section_only_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_4,holdout,0.116764926,19.626,26.80511297,13.056,67.64472213,18.623,58.05518019,16.971,-19.50923507,13.74911297,49.02172213,41.08418019,fail
