candidate_id,case_id,split_role,sensor,kind,candidate_error_K,candidate_abs_error_K,m3_error_K,m3_abs_error_K,abs_error_delta_vs_m3_K,candidate_predicted_K,target_K,prediction_source_segment,comparison_status,probe_gate
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP1,TP,-54.19554396,54.19554396,-20.51460024,20.51460024,33.68094372,411.614456,465.81,top_horizontal_exit,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP2,TP,,,,,,nan,458.52,,not_compared_missing_m3_or_candidate,not_compared
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP3,TP,-37.69777992,37.69777992,-8.642879738,8.642879738,29.05490018,421.6222201,459.32,left_lower_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP4,TP,-41.41535628,41.41535628,-11.25390723,11.25390723,30.16144905,421.1546437,462.57,left_lower_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP5,TP,-41.27119975,41.27119975,-12.68597574,12.68597574,28.58522401,422.3788003,463.65,test_section,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP6,TP,-51.42211432,51.42211432,-14.32783545,14.32783545,37.09427887,415.0478857,466.47,left_upper_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW1,TW,-44.37942475,44.37942475,-39.25074637,39.25074637,5.128678378,410.6205752,455,right_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW10,TW,137.8305338,137.8305338,,,,536.9205338,399.09,cooled_incline_hx_active,not_compared_missing_m3_or_candidate,not_compared
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW11,TW,-49.34397386,49.34397386,-14.11077639,14.11077639,35.23319747,411.2060261,460.55,cooled_incline_post_hx,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW2,TW,-45.84582118,45.84582118,-34.99323507,34.99323507,10.85258611,410.2341788,456.08,right_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW3,TW,-44.87449297,44.87449297,-12.18741081,12.18741081,32.68708216,410.025507,454.9,right_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW4,TW,-45.4450526,45.4450526,-10.35121844,10.35121844,35.09383416,412.5549474,458,heated_incline,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW5,TW,-70.42232861,70.42232861,-8.371969995,8.371969995,62.05035862,415.1676714,485.59,heated_incline,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW6,TW,-62.18534689,62.18534689,-6.406944164,6.406944164,55.77840273,417.9446531,480.13,heated_incline,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW7,TW,-44.37569993,44.37569993,-14.18859116,14.18859116,30.18710877,420.4643001,464.84,left_lower_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW8,TW,-43.90335362,43.90335362,-14.27661257,14.27661257,29.62674105,417.7666464,461.67,left_upper_vertical,compared,fail
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW9,TW,-48.48039419,48.48039419,0.9395367915,0.9395367915,47.5408574,414.0096058,462.49,cooled_incline_pre_hx,compared,fail
