chain_name,segment_index,job_name,job_id,dependency_job_id,case_key_1,case_key_2,case_dir_1,case_dir_2,segment_walltime
ethan_w12_nq9d,1,ethan_w12_nq9d_s1,3259055,,water1,water2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation,48:00:00
ethan_w12_nq9d,2,ethan_w12_nq9d_s2,3259056,3259055,water1,water2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation,48:00:00
ethan_w12_nq9d,3,ethan_w12_nq9d_s3,3259057,3259056,water1,water2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation,48:00:00
ethan_w12_nq9d,4,ethan_w12_nq9d_s4,3259058,3259057,water1,water2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation,48:00:00
ethan_w12_nq9d,5,ethan_w12_nq9d_s5,3259059,3259058,water1,water2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation,48:00:00
ethan_w34_nq9d,1,ethan_w34_nq9d_s1,3259060,,water3,water4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation,48:00:00
ethan_w34_nq9d,2,ethan_w34_nq9d_s2,3259061,3259060,water3,water4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation,48:00:00
ethan_w34_nq9d,3,ethan_w34_nq9d_s3,3259062,3259061,water3,water4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation,48:00:00
ethan_w34_nq9d,4,ethan_w34_nq9d_s4,3259063,3259062,water3,water4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation,48:00:00
ethan_w34_nq9d,5,ethan_w34_nq9d_s5,3259064,3259063,water3,water4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation,48:00:00
ethan_s1cont_s1hi_nq9d,1,ethan_s1cont_s1hi_nq9d_s1,3259065,,salt1_jin_basecont,salt1_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s1cont_s1hi_nq9d,2,ethan_s1cont_s1hi_nq9d_s2,3259066,3259065,salt1_jin_basecont,salt1_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s1cont_s1hi_nq9d,3,ethan_s1cont_s1hi_nq9d_s3,3259067,3259066,salt1_jin_basecont,salt1_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s1cont_s1hi_nq9d,4,ethan_s1cont_s1hi_nq9d_s4,3259068,3259067,salt1_jin_basecont,salt1_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s1cont_s1hi_nq9d,5,ethan_s1cont_s1hi_nq9d_s5,3259069,3259068,salt1_jin_basecont,salt1_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s23hi_nq9d,1,ethan_s23hi_nq9d_s1,3259070,,salt2_jin_hiq_balq,salt3_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh,48:00:00
ethan_s23hi_nq9d,2,ethan_s23hi_nq9d_s2,3259071,3259070,salt2_jin_hiq_balq,salt3_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh,48:00:00
ethan_s23hi_nq9d,3,ethan_s23hi_nq9d_s3,3259072,3259071,salt2_jin_hiq_balq,salt3_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh,48:00:00
ethan_s23hi_nq9d,4,ethan_s23hi_nq9d_s4,3259073,3259072,salt2_jin_hiq_balq,salt3_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh,48:00:00
ethan_s23hi_nq9d,5,ethan_s23hi_nq9d_s5,3259074,3259073,salt2_jin_hiq_balq,salt3_jin_hiq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh,48:00:00
ethan_s4hi_s1lo_nq9d,1,ethan_s4hi_s1lo_nq9d_s1,3259075,,salt4_jin_hiq_balq,salt1_jin_loq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s4hi_s1lo_nq9d,2,ethan_s4hi_s1lo_nq9d_s2,3259076,3259075,salt4_jin_hiq_balq,salt1_jin_loq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s4hi_s1lo_nq9d,3,ethan_s4hi_s1lo_nq9d_s3,3259077,3259076,salt4_jin_hiq_balq,salt1_jin_loq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s4hi_s1lo_nq9d,4,ethan_s4hi_s1lo_nq9d_s4,3259078,3259077,salt4_jin_hiq_balq,salt1_jin_loq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
ethan_s4hi_s1lo_nq9d,5,ethan_s4hi_s1lo_nq9d_s5,3259079,3259078,salt4_jin_hiq_balq,salt1_jin_loq_balq,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,48:00:00
