segment,qoi,units,final_fit_eligible,forward_v1_use,admission_class,validation_use,blockers,thermal_nu_policy,radiation_policy,sign_policy,source_row
lower_leg,wallHeatFlux,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:2
lower_leg,enthalpy_change,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:3
lower_leg,segment_duty,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:4
lower_leg,HTC,W/m2/K,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:5
lower_leg,Nu,dimensionless,no,no_internal_nu_fit_use_baseline_or_literature_only,blocked,no,missing_or_nonfinite_coarse_medium_or_fine_value;coarse_nu_direct_not_admitted;medium_nu_direct_not_admitted;fine_nu_direct_not_admitted;coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:6
lower_leg,UA_prime,W/m/K,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:7
upcomer,wallHeatFlux,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:8
upcomer,enthalpy_change,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:9
upcomer,segment_duty,W,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:10
upcomer,HTC,W/m2/K,no,validation_only_diagnostic_not_runtime_fit,validation_only,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;internal_Nu_residual_absorption_forbidden,"internal Nu may not absorb heater, cooler, passive loss, wall storage, junction, recirculation, or radiation residuals",CFD rcExternalTemperature wallHeatFlux includes radiation where that BC is used; no separate exported qr term exists; do not add a separate radiation residual to internal Nu,"positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy; HTC/UA/Nu are positive diagnostics, not heat-source directions",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv:11
