R_cond_K_W,R_cond_m2K_W,R_cond_m2K_W_max,R_cond_m2K_W_min,Ta_K,Tsur_K,area_m2,basis_label,candidate_id,conductive_heat_in_W,corrected_q_conv_W,corrected_q_rad_W,corrected_q_total_W,emissivity,finite_wall_state_count,hA_W_K,inner_wall_state_T_K,inner_wall_state_T_max_K,inner_wall_state_T_min_K,insulation_k_basis,interpretation,layer_options,layer_options_count,mapped_wall_state_sensors,naive_inner_surface_q_conv_W,naive_inner_surface_q_rad_W,naive_inner_surface_q_total_W,numeric_q_loss_release,outer_surface_T_K,rad_reduction_factor,runtime_CFD_mdot_used,runtime_Qwall_used,runtime_imposed_cooler_duty_used,runtime_validation_temperature_used,runtime_wallHeatFlux_used,scenario_id,source_family,train_case_id
31.523061640293744,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.65000000000003,299.65000000000003,0.03257168133333333,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,6.036551153470735,2.381694404264334,3.6548567492064064,6.03655115347074,0.9499999999999998,2,0.13440561066666665,507.6607748655,509.072566673,506.248983058,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556,1,TW10;TW11,27.957815221044036,102.39267460753209,130.35048982857612,False,317.3702007598557,28.015509672100013,False,False,False,False,False,salt_2__V00__nominal,cooling_branch,salt_2
16.18600328523168,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.65000000000003,299.65000000000003,0.063435,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,11.685237653110457,4.146782619571723,7.5384550335387495,11.685237653110473,0.9499999999999998,3,0.222013296,507.4653773653334,507.985917345,507.080063471,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556,1,TW1;TW2;TW3,46.13777688836145,199.06569119225048,245.20346808061194,False,318.3280823233746,26.406696107704153,False,False,False,False,False,salt_2__V00__nominal,downcomer,salt_2
24.158853333382858,1.0262390023426906,1.0262390023426906,1.0262390023426906,299.65000000000003,299.65000000000003,0.042478796000000006,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,8.2430797271117,5.067434178979065,3.175645548132602,8.243079727111667,0.9499999999999998,4,0.4175041863333333,510.93079933449997,513.253846688,508.407896429,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.006096001 0.03556,1,TW4;TW5;TW6;TW7,88.21061821400666,137.49075184132695,225.7013700553336,False,311.7874451918268,43.29537089621877,False,False,False,False,False,salt_2__V00__nominal,junction,salt_2
61.97252730118309,1.0264990603706812,1.0267591183986717,1.0262390023426906,299.65000000000003,299.65000000000003,0.016563776,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,3.1052323784803524,1.2069449715509226,1.898287406929435,3.1052323784803577,0.9499999999999998,3,0.06680253866666667,510.15645021666666,512.041652307,508.407896429,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556 | 0.006096001 0.03556,2,TW4;TW5;TW6,14.062365280181615,53.244048741618606,67.30641402180022,False,317.7173518647753,28.048465446938426,False,False,False,False,False,salt_2__V00__nominal,lower_leg,salt_2
20.41783168072381,1.0272847746563953,1.0278104309141192,1.0267591183986717,299.65000000000003,299.65000000000003,0.050313118,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,9.486460527077334,3.538607251091272,5.947853275986032,9.486460527077304,0.9499999999999998,3,0.19036294866666667,511.931693724,513.253846688,510.972131532,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556 | 0.0022 0.006096001 0.03556,2,TW7;TW8;TW9,40.41056916525486,164.2995674662184,204.71013663147326,False,318.2387394363045,27.623339017047442,False,False,False,False,False,salt_2__V00__nominal,upcomer,salt_2
31.523061640293744,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.65000000000003,299.65000000000003,0.03257168133333333,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,6.041332950725149,2.3834857846752913,3.6578471660498626,6.041332950725154,0.9499999999999998,2,0.13440561066666665,507.824839922,509.241520926,506.408158918,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556,1,TW10;TW11,27.979866485151984,102.54339879596617,130.52326528111814,False,317.38352892675346,28.03381173158844,False,False,False,False,False,salt_2__V01__downstream_plus_0p10,cooling_branch,salt_2
16.18600328523168,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.65000000000003,299.65000000000003,0.063435,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,11.691896937785272,4.149012749429916,7.542884188355333,11.691896937785248,0.9499999999999998,3,0.222013296,507.58320959733334,508.120105215,507.183167264,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556,1,TW1;TW2;TW3,46.1639372105628,199.2762429606887,245.4401801712515,False,318.3381273517507,26.41910414962096,False,False,False,False,False,salt_2__V01__downstream_plus_0p10,downcomer,salt_2
24.158853333382858,1.0262390023426906,1.0262390023426906,1.0262390023426906,299.65000000000003,299.65000000000003,0.042478796000000006,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,8.212607581733973,5.049125341669859,3.163482240064113,8.212607581733971,0.9499999999999998,4,0.4175041863333333,510.15077418075,513.576601301,506.378857063,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.006096001 0.03556,1,TW4;TW5;TW6;TW7,87.88495444687074,136.54065533054805,224.4256097774188,False,311.74359212901084,43.16150525560745,False,False,False,False,False,salt_2__V01__downstream_plus_0p10,junction,salt_2
61.97252730118309,1.0264990603706812,1.0267591183986717,1.0262390023426906,299.65000000000003,299.65000000000003,0.016563776,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,3.0882282915463004,1.2006767445479072,1.8875515469983946,3.0882282915463017,0.9499999999999998,3,0.06680253866666667,509.0088318073333,511.825132915,506.378857063,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556 | 0.006096001 0.03556,2,TW4;TW5;TW6,13.985701457017546,52.70205207597928,66.68775353299682,False,317.6235196971942,27.9208544846294,False,False,False,False,False,salt_2__V01__downstream_plus_0p10,lower_leg,salt_2
20.41783168072381,1.0272847746563953,1.0278104309141192,1.0267591183986717,299.65000000000003,299.65000000000003,0.050313118,inner_wall_prediction_to_outer_insulation_surface_reconciliation,PASSIVE-H2-CAND001,9.498717486793437,3.542929638980463,5.955787847813007,9.49871748679347,0.9499999999999998,3,0.19036294866666667,512.2046603,513.576601301,511.206398202,Calzite polynomial at 300 K for 35.56 mm layer; thin non-insulation layers use source k constants,prior_large_radiation_used_inner_wall_state_as_emitting_surface; corrected_operator_radiates_from_outer_insulation_surface,0.001651 0.03556 | 0.0022 0.006096001 0.03556,2,TW7;TW8;TW9,40.462531887549666,164.69691400058667,205.15944588813633,False,318.2614454719037,27.653253978995263,False,False,False,False,False,salt_2__V01__downstream_plus_0p10,upcomer,salt_2
