case_id,corrected_passive_operator_conv_W,corrected_passive_operator_delta_vs_nominal_W,corrected_passive_operator_rad_W,corrected_passive_operator_total_W,corrected_radiation_delta_vs_nominal_W,fit_allowed,input_family,interpretation,level,max_abs_TP_delta_K,max_abs_TW_delta_K,mdot_model_kg_s,model_selection_allowed,passive_operator_release,pressure_residual_Pa,protected_scoring,qambient_total_W,qhx_total_W,root_status,scenario_id,temperature_periodicity_error_K,variant_id
salt_2,16.341463425457317,0.0,22.215098013793224,38.556561439250544,0.0,False,baseline_frozen_setup,train_only_same_qoi_diagnostic_gate_no_release,nominal,0.0,0.0,0.0202249109771,False,False,-9.79072751761e-08,False,256.393763167,46.3059033707,accepted,salt_2__V00__nominal,-5.70696556679e-09,V00
salt_2,16.325230259303435,-0.023778190666405408,22.20755298928071,38.53278324858414,-0.007545024512513265,False,heater_source_fraction,train_only_same_qoi_diagnostic_gate_no_release,downstream_plus_0p10,0.36043680405,2.02903936548,0.0195684266422,False,False,7.68439747389e-08,False,256.355858468,46.3437397435,accepted,salt_2__V01__downstream_plus_0p10,8.17180989543e-10,V01
salt_2,16.339632585787275,-0.00280169100635419,22.214127162456908,38.55375974824419,-0.0009708513363158033,False,heater_source_fraction,train_only_same_qoi_diagnostic_gate_no_release,upstream_plus_0p10,0.0362086051135,2.00086668497,0.0201541114132,False,False,-8.21899703851e-09,False,256.390033305,46.3095216518,accepted,salt_2__V01__upstream_plus_0p10,-4.7591584007e-09,V01
salt_2,16.434453369726278,0.19265561670842146,22.314763686232688,38.749217055958965,0.099665672439464,False,cooler_hx_strength,train_only_same_qoi_diagnostic_gate_no_release,hx_ua_0p8,4.06229630394,32.6280138454,0.020266039314,False,False,9.32541155407e-08,False,263.575847397,39.1237359871,accepted,salt_2__V02__hx_ua_0p8,2.14095052797e-09,V02
salt_2,16.2549350918793,-0.17746782520544713,22.124158522165793,38.3790936140451,-0.09093949162743087,False,cooler_hx_strength,train_only_same_qoi_diagnostic_gate_no_release,hx_ua_1p2,3.66790049188,29.2055686622,0.0201731367441,False,False,-8.68044836011e-08,False,250.001963449,52.6977738279,accepted,salt_2__V02__hx_ua_1p2,5.07230879521e-09,V02
salt_2,16.26343129622615,-0.1929365865357653,22.100193556488627,38.36362485271478,-0.11490445730459697,False,ambient_temperature,train_only_same_qoi_diagnostic_gate_no_release,ambient_minus_2K,1.04479602478,1.05793070313,0.0201412924022,False,False,3.25003810531e-08,False,256.633319133,46.0663478213,accepted,salt_2__V03__ambient_minus_2K,5.54337020731e-10,V03
salt_2,16.419536977719257,0.1931224970799974,22.330146958611287,38.74968393633054,0.1150489448180636,False,ambient_temperature,train_only_same_qoi_diagnostic_gate_no_release,ambient_plus_2K,1.04572959508,1.05877874108,0.0203082820594,False,False,-7.33130463004e-08,False,256.153883026,46.5457827404,accepted,salt_2__V03__ambient_plus_2K,-7.24867277313e-10,V03
salt_2,16.94128434831848,1.4875754094469826,23.102852500379043,40.044136848697526,0.8877544865858198,False,external_convection_hA,train_only_same_qoi_diagnostic_gate_no_release,external_hA_0p5,8.18921800136,8.16122584613,0.0207507417802,False,False,-1.05476715362e-07,False,254.513625379,48.1862875149,accepted,salt_2__V04__external_hA_0p5,-5.97083271714e-10,V04
salt_2,15.430848900042708,-2.2496561650952955,20.876056374112537,36.30690527415525,-1.339041639680687,False,external_convection_hA,train_only_same_qoi_diagnostic_gate_no_release,external_hA_2p0,12.4703209333,12.3897355489,0.0194132013673,False,False,-5.63332136494e-08,False,259.239733104,43.4593087525,accepted,salt_2__V04__external_hA_2p0,-2.60286014964e-10,V04
salt_2,16.341463425457317,0.0,22.215098013793224,38.556561439250544,0.0,False,radiation,train_only_same_qoi_diagnostic_gate_no_release,radiation_on,0.0,0.0,0.0202249109771,False,False,-9.79072751761e-08,False,256.393763167,46.3059033707,accepted,salt_2__V05__radiation_on,-5.70696556679e-09,V05
salt_2,16.34059569561945,-0.0006415791377705204,22.215324164493325,38.55591986011277,0.0002261507001009022,False,pressure_loss_terms,train_only_same_qoi_diagnostic_gate_no_release,major_loss_0p9,0.207676645367,0.161501364734,0.0211585285057,False,False,-1.64905245015e-08,False,256.384475436,46.3152041537,accepted,salt_2__V07__major_loss_0p9,-4.6295554057e-09,V07
salt_2,16.342230363201917,0.00044875284405776483,22.214779828892684,38.5570101920946,-0.00031818490053936443,False,pressure_loss_terms,train_only_same_qoi_diagnostic_gate_no_release,major_loss_1p1,0.198263922341,0.154471663729,0.0194008027078,False,False,4.46756516226e-08,False,256.402671725,46.2969821236,accepted,salt_2__V07__major_loss_1p1,-1.0777512216e-10,V07
