path,exists,role
reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv,yes,read_only_input
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv,yes,read_only_input
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/case_inventory.csv,yes,read_only_input
work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,yes,read_only_input
work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_steady_state_table.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_compact_lineage_table.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/upcomer_onset_candidate_cases.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/corrected_q_harvest_3295437_processing_status.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_split_admission_matrix.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_heat_role_reduction.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_forward_gate_queue.csv,yes,read_only_input
work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/hiins_loins_construction_review.csv,yes,read_only_input
.agent/journal/2026-07-01/T2-truesteady-insulation-runs.md,yes,read_only_input
.agent/journal/2026-07-01/T3-perturbation-requalification.md,yes,read_only_input
operational_notes/maps/thermal-boundary-and-radiation.md,yes,read_only_input
