scope,variable,label,n,x_min,x_max,mdot_min_kg_s,mdot_max_kg_s,pearson_r,r_squared,slope_kg_s_per_unit,intercept_kg_s,x_delta_observed_range,mdot_delta_observed_range_kg_s,trend_statement,paper_use,interpretation
all_rows_with_mdot,T_init_K,setup initial temperature,26,440,475,0.01123557,0.017086533,0.988038,0.97622,0.000153820323,-0.055831823,35,0.005850963,mdot increases with T_init_K; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_context_only_confounding_by_case_design,strong observed association only; not a controlled causal fit
all_rows_with_mdot,metadata_probe_T_avg_K,metadata probe average temperature,26,429.151231,477.379633,0.01123557,0.017086533,0.997778,0.995562,0.000123633025,-0.042035589,48.228403,0.005850963,mdot increases with metadata_probe_T_avg_K; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_supplement_diagnostic_only,strong observed association only; not a controlled causal fit
all_rows_with_mdot,timeseries_probe_T_avg_K,time-series probe average temperature,46,315.525752,482.302062,0.006551288,0.018232085,0.867428,0.752431,0.000055149496,-0.010787721,166.77631,0.011680797,mdot increases with timeseries_probe_T_avg_K; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_supplement_diagnostic_only,strong observed association only; not a controlled causal fit
all_rows_with_mdot,timeseries_wall_T_avg_K,time-series wall-temperature average,46,314.978439,481.131799,0.006551288,0.018232085,0.861982,0.743013,0.000055558918,-0.010916415,166.15336,0.011680797,mdot increases with timeseries_wall_T_avg_K; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_supplement_diagnostic_only,strong observed association only; not a controlled causal fit
all_rows_with_mdot,heater_power_W,heater setup power,26,232.3,337.6,0.01123557,0.017086533,0.999681,0.999363,0.000055046036,-0.001466656,105.3,0.005850963,mdot increases with heater_power_W; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_context_only_confounding_by_case_design,strong observed association only; not a controlled causal fit
all_rows_with_mdot,cooling_power_W,cooler setup power,26,55.58,65.98,0.01123557,0.017086533,0.962953,0.927278,0.000465328619,-0.013476257,10.4,0.005850963,mdot increases with cooling_power_W; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_context_only_confounding_by_case_design,strong observed association only; not a controlled causal fit
all_rows_with_mdot,area_weighted_external_h_W_m2K,patch-role area-weighted external h,22,4.876287,5.09419,0.013160448,0.017086533,0.999094,0.998189,0.017817031207,-0.073647659,0.217903,0.003926085,mdot increases with area_weighted_external_h_W_m2K; strong mixed admitted/diagnostic association; not a controlled causal fit,paper_context_only_confounding_by_case_design,strong observed association only; not a controlled causal fit
all_rows_with_mdot,final_total_wall_heat_abs_W,metadata final total wall heat magnitude,26,0.362005,9.4561,0.01123557,0.017086533,-0.654384,0.428218,-0.000407222686,0.015121411,9.094095,0.005850963,mdot decreases with final_total_wall_heat_abs_W; moderate mixed admitted/diagnostic association; not a controlled causal fit,paper_supplement_diagnostic_only,moderate observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,T_init_K,setup initial temperature,3,447,475,0.013199343,0.017080866,0.999378,0.998756,0.000138223429,-0.048541462,28,0.003881523,mdot increases with T_init_K; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,metadata_probe_T_avg_K,metadata probe average temperature,3,447.902339,477.379633,0.013199343,0.017080866,0.999977,0.999954,0.00013163035,-0.045749896,29.477294,0.003881523,mdot increases with metadata_probe_T_avg_K; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,timeseries_probe_T_avg_K,time-series probe average temperature,3,448.425276,477.976692,0.013199343,0.017080866,0.999991,0.999982,0.000131371925,-0.045716244,29.551416,0.003881523,mdot increases with timeseries_probe_T_avg_K; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,timeseries_wall_T_avg_K,time-series wall-temperature average,3,448.93546,476.957713,0.013199343,0.017080866,0.999993,0.999986,0.000138489356,-0.04896887,28.022253,0.003881523,mdot increases with timeseries_wall_T_avg_K; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,heater_power_W,heater setup power,3,265.7,337.6,0.013199343,0.017080866,0.999809,0.999618,0.000053914802,-0.001101428,71.9,0.003881523,mdot increases with heater_power_W; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,cooling_power_W,cooler setup power,3,56.34,65.98,0.013199343,0.017080866,0.999664,0.999328,0.000401886116,-0.009410248,9.64,0.003881523,mdot increases with cooling_power_W; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,area_weighted_external_h_W_m2K,patch-role area-weighted external h,3,4.876287,5.09419,0.013199343,0.017080866,0.998813,0.997628,0.017730067935,-0.073194135,0.217903,0.003881523,mdot increases with area_weighted_external_h_W_m2K; strong mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,strong observed association only; not a controlled causal fit
admitted_or_usable_with_mdot,final_total_wall_heat_abs_W,metadata final total wall heat magnitude,3,0.362005,0.972496,0.013199343,0.017080866,-0.032119,0.001032,-0.000178553824,0.015188982,0.610491,0.003881523,mdot decreases with final_total_wall_heat_abs_W; weak mainline monotonic ordering; not a controlled causal fit,paper_observational_trend_limited_n3,weak observed association only; not a controlled causal fit
