case_key,source_case_key,canonical_case_key,source_id,case_id,fluid,variant_label,evidence_class,split_or_use_status,steady_or_needs_continuation,steady_state_detection_status,bc_summary_status,heater_power_W,cooling_power_W,T_init_K,heater_h_W_m2K,heater_Ta_K,heater_emissivity,cooler_h_W_m2K,cooler_Ta_K,test_section_h_W_m2K,test_section_Ta_K,insulated_h_W_m2K,insulated_Ta_K,two_d_radiation_on,mdot_mean_abs_kg_s,mdot_monitor_count,metadata_probe_T_avg_K,timeseries_probe_T_avg_K,timeseries_probe_T_min_K,timeseries_probe_T_max_K,timeseries_wall_T_avg_K,timeseries_heat_net_W,final_total_wall_heat_abs_W,heater_realized_wallHeatFlux_W,cooler_realized_wallHeatFlux_W,ambient_wall_realized_wallHeatFlux_W,test_section_realized_wallHeatFlux_W,area_weighted_external_h_W_m2K,q_ratio,current_split_family,terminal_harvest_state,closure_fit_admissible_terminal_gate,can_expand_training_now,can_score_validation_now,can_score_holdout_now,blocked_use,next_required_gate,pm5_final_window_start_s,pm5_final_window_end_s,pm5_final_window_row_count,pm5_total_Q_postProc_mean_W,pm5_ambient_proxy_mean_W,pm5_cooling_branch_total_removal_mean_W,pm5_section_heater_net_q_mean_W,pm5_section_test_section_net_q_mean_W,pm5_section_cooling_branch_net_q_mean_W,pm5_section_downcomer_net_q_mean_W,pm5_section_upcomer_net_q_mean_W,pm5_section_junctions_net_q_mean_W,pm5_radiation_semantics,pm5_runtime_use_guardrail,missing_result_reason,source_root,evidence_paths
salt2_jin,salt2_jin,salt2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,jin,admitted_or_usable,training,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,265.7,56.34,447.0,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,False,0.013199343,1,447.9023393333333,448.425276,441.681458,452.338919,448.93546,0.141394,0.362005,243.519098,-136.35074,-62.233907,-5.679836,4.876287,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;mainline split policy from current inventory
salt3_jin,salt3_jin,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt3,jin,admitted_or_usable,validation,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,297.5,60.55,459.0,8.761,300.0,0.25,29.871708360729436,347.77,5.964,300.0,5.964,300.0,False,0.014981961,1,461.26648033333333,462.105529,456.274256,465.499546,461.713677,0.282103,0.972496,273.155375,-150.769639,-68.319699,-10.54504,4.967118,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;mainline split policy from current inventory
salt4_jin,salt4_jin,salt4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt4,jin,admitted_or_usable,holdout,steady,all_representative_series_steady,patch_role_summary_available,337.6,65.98,475.0,8.761,300.0,0.25,29.686756197250634,353.03999999999996,5.964,300.0,5.964,300.0,False,0.017080866,1,477.37963333333335,477.976692,474.387526,480.830444,476.957713,0.056405,0.37241,310.487058,-169.226814,-75.927117,-16.768686,5.09419,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt1,salt1,salt1,viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation,,salt1,,diagnostic,Kirst rows are historical/context unless explicitly re-admitted,,mixed:quasi-steady (bounded drift/oscillation);steady,case_level_only_or_missing,,,,,,,,,,,,,,0.010931046,1,,429.452049,421.998579,434.254683,430.152175,-9.443705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/salt1/2026-06-05_targeted_campaign/kirst_continuation_candidate/case_stage/viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;AGENTS.md repo-specific operating rules
salt1_jin,salt1_jin,salt1_jin,viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt1,jin,diagnostic,Salt1 remains context-only pending Salt1 policy/admission,,mixed:quasi-steady (bounded drift/oscillation);steady,case_level_only_or_missing,232.3,55.58,440.0,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,False,0.011244799,1,429.15123066666666,428.904478,421.812805,433.358104,429.824717,-9.132437,9.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt1_jin_basecont,salt1_jin_basecont,salt1_jin_basecont,viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt1,jin,diagnostic,Salt1 remains context-only pending Salt1 policy/admission,,mixed:quasi-steady (bounded drift/oscillation);steady,case_level_only_or_missing,232.3,55.58,440.0,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,False,0.01123557,1,429.15123066666666,428.793141,421.691087,433.253238,429.713039,-8.987082,9.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt1_jin_lo10q_corrected,salt1_jin_lo10q_corrected,salt1_jin_lo10q_corrected,viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,salt1,,diagnostic,Salt1 steady detector is not enough: Salt1 remains context-only until a dated Salt1 admission/split policy and post-run gate admit it.,steady,steady_runtime_stop_not_closure_fit_priority,case_level_only_or_missing,,,,,,,,,,,,,,0.010420656,1,,422.252657,414.51085,427.346778,422.383794,-9.502382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt1_jin_nominal_continuation_corrected,salt1_jin_nominal_continuation_corrected,salt1_jin_nominal_continuation_corrected,viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,salt1,,diagnostic,Salt1 steady detector is not enough: Salt1 remains context-only until a dated Salt1 admission/split policy and post-run gate admit it.,steady,steady_runtime_stop_not_yet_closure_admission,case_level_only_or_missing,,,,,,,,,,,,,,0.011229506,1,,428.715208,421.603563,433.180736,429.635245,-8.88689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt1_jin_optins,salt1_jin_optins,salt1_jin_optins,viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt1,jin,diagnostic,Salt1 remains context-only pending Salt1 policy/admission,steady,steady_with_quasi_series,case_level_only_or_missing,232.3,55.58,440.0,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,False,0.011249698,1,429.15123066666666,428.963738,421.877699,433.41358,429.883968,-9.209125,9.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/steady_candidate_admission_triage.csv
salt2,salt2,salt2,val_salt_test_2_coarse_mesh_laminar_continuation,,salt2,,diagnostic,context row; not current admitted split evidence,,mixed:not steady (drifting);steady,case_level_only_or_missing,,,,,,,,,,,,,,0.013688831,1,,453.59148,446.737649,457.403535,453.922597,0.182286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
