source_id,case_label,family,loop_total_pressure_loss_hydro_pa,loop_total_pressure_loss_prgh_pa,straight_pipe_total_pressure_loss_hydro_pa,max_section_pressure_loss_hydro_pa,max_wall_p_range_pa,max_wall_prgh_range_pa,max_hydro_head_proxy_range_pa
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,124.56434739277594,26.47578217885882,12.96445749515243,196.57968988576994,22939.82896922391,122.57257682338536,22924.080863273466
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,132.00527818928072,27.68284192052287,18.82760005778141,196.77680391449303,23152.246123284025,129.4867454002328,23126.895986161388
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,132.84609888255295,27.585599957685062,20.569205552707444,196.86871060325348,23151.516590448882,131.00270913974558,23124.17745851089
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,125.5942133051758,28.197872801711625,13.433966180122525,196.53248887927225,22989.13099968653,124.55869284653953,22971.05672338739
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,126.86847942169265,32.551018576953766,14.304003100175578,195.6898672954071,22999.036703814305,126.60075914814811,22976.390106826126
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,118.51887291962521,25.19415013827375,7.876924246575527,196.09562523844306,22875.882836654782,128.9955742073168,22861.95381077402
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,122.54952000476214,28.450928703064474,11.08252604203767,195.3913634152757,22874.93281283648,132.3105186075228,22857.208056234027
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,110.45858091679384,29.026220558966056,1.1188832976095,195.0839358850933,22738.80092887948,135.0769310812554,22724.70676735402
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,115.96952737146353,28.465761880629117,6.278675672757572,194.58251053371805,22736.585887541485,138.59081207723275,22721.81148523451
val_water_test_1_coarse_mesh_laminar,Water 1,water,165.7145889129174,1.837597891375065,-2516.7033661033192,9604.960605584312,11646.943193489686,13.20306540841985,11645.106486304092
val_water_test_2_coarse_mesh_laminar,Water 2,water,-17694.797990307827,3.266398240775171,-20372.83953805558,2678.041547747753,11621.288134224726,16.76546472745234,11619.43100247909
val_water_test_3_coarse_mesh_laminar,Water 3,water,-15036.18305000728,3.7688979543661634,-17710.921939781005,2674.738889773725,11599.95142108057,19.934299350956405,11597.388083890404
val_water_test_4_coarse_mesh_laminar,Water 4,water,-13686.355707254243,4.184748336839251,-16354.289015563281,2667.9333083090382,11541.361105248117,26.663660882699926,11539.935523673475
