source_id,span_name,figure_png,figure_svg,figure_pdf,profile_count,map_type
val_salt_test_2_coarse_mesh_laminar,left_lower_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.pdf,1300,sparse_landmark_profile_map
val_salt_test_2_coarse_mesh_laminar,left_upper_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.pdf,1300,sparse_landmark_profile_map
val_salt_test_2_coarse_mesh_laminar,lower_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.pdf,965,sparse_landmark_profile_map
val_salt_test_2_coarse_mesh_laminar,right_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.pdf,525,sparse_landmark_profile_map
val_salt_test_2_coarse_mesh_laminar,test_section_span,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.pdf,975,sparse_landmark_profile_map
val_salt_test_2_coarse_mesh_laminar,upper_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_salt_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_salt_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_salt_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.pdf,1950,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,left_lower_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_left_lower_leg_boundary_profiles.pdf,1300,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,left_upper_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_left_upper_leg_boundary_profiles.pdf,1300,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,lower_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_lower_leg_boundary_profiles.pdf,965,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,right_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_right_leg_boundary_profiles.pdf,525,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,test_section_span,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_test_section_span_boundary_profiles.pdf,975,sparse_landmark_profile_map
val_water_test_2_coarse_mesh_laminar,upper_leg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/png/val_water_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.png,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/svg/val_water_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.svg,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/figures/pdf/val_water_test_2_coarse_mesh_laminar_upper_leg_boundary_profiles.pdf,1950,sparse_landmark_profile_map
