field_name,field_class,predictive_hx_runtime_allowed,source_path,runtime_use,notes
fluid_case_name,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,case selection,Selects the physical operating case.
fluid_name,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,material selection,Selects salt material/property family.
property_set_name,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,material selection,Optional declared property set.
geometry,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,loop geometry,Current repo-local runner imports Fluid geometry read-only.
heater_power_W,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,heater source input,Electrical/setup heater power; not realized CFD wall flux.
test_section_power_W,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,source-contract variant,Forward-v0 reports both current Fluid source contract and heater-only sensitivity.
air_T_inlet_K,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,HX setup metadata,Used by predictive HX later; carried but not first-order in imposed-cooler mode.
air_flow_Lpm,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,HX setup metadata,Used by predictive HX later; carried but not first-order in imposed-cooler mode.
boundary_ambient_Ta_K,setup_input,true,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,ambient setup,Area/hA-weighted declared CFD boundary Ta; not a validation temperature.
insulation_thickness_in,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,wall/insulation setup,Initial v0 uses 1.0 in to match current Fluid salt comparisons.
radiation_on,setup_input,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,physics toggle,Forward-v0 CFD comparison uses radiation_off; later experiment prediction may re-enable radiation explicitly.
mdot_search_lower_kg_s,setup_input,true,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,root-search bound,Broad salt natural-circulation numerical lower bound; not a measured or CFD mdot anchor.
mdot_search_upper_kg_s,setup_input,true,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,root-search bound,Broad salt natural-circulation numerical upper bound; not a measured or CFD mdot anchor.
imposed_cooler_duty_W,setup_input,false,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,not_runtime_input,forbidden at predictive-HX runtime; may only be a training target after split declaration
HX_UA_or_epsilon_NTU,calibrated_parameter,true,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,future predictive HX,Replacement for imposed cooler duty.
cfd_mdot_kg_s,validation_target,false,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,not_runtime_input,Can be joined after solve for scoring.
cfd_Tmean_K,validation_target,false,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,not_runtime_input,Can be joined after solve for scoring.
cfd_loop_delta_T_K,validation_target,false,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,not_runtime_input,Can be joined after solve for scoring.
cooler_wallHeatFlux_W,diagnostic_cfd_evidence,false,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,not_runtime_input,forbidden at predictive-HX runtime; validation/diagnostic target only
