field_name,source_system,source_path,field_class,forward_v0_imposed_cooler_allowed,predictive_hx_allowed,runtime_use,blocked_runtime_reason,litrev_gate,litrev_gate_source_path,litrev_gate_required_before_scoring,notes
fluid_case_name,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,case selection,,,,false,Selects the physical operating case.
fluid_name,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,material selection,,,,false,Selects salt material/property family.
property_set_name,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,material selection,,,,false,Optional declared property set.
geometry,Fluid tracked geometry,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,loop geometry,,,,false,Current repo-local runner imports Fluid geometry read-only.
heater_power_W,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,heater source input,,,,false,Electrical/setup heater power; not realized CFD wall flux.
test_section_power_W,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,source-contract variant,,,,false,Forward-v0 reports both current Fluid source contract and heater-only sensitivity.
air_T_inlet_K,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,HX setup metadata,,,,false,Used by predictive HX later; carried but not first-order in imposed-cooler mode.
air_flow_Lpm,Fluid cases config,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,HX setup metadata,,,,false,Used by predictive HX later; carried but not first-order in imposed-cooler mode.
boundary_ambient_Ta_K,CFD boundary dictionary setup,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,setup_input,true,true,ambient setup,,,,false,Area/hA-weighted declared CFD boundary Ta; not a validation temperature.
insulation_thickness_in,Fluid scenario setup,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,wall/insulation setup,,,,false,Initial v0 uses 1.0 in to match current Fluid salt comparisons.
radiation_on,scenario control,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,setup_input,true,true,physics toggle,,,,false,Forward-v0 CFD comparison uses radiation_off; later experiment prediction may re-enable radiation explicitly.
mdot_search_lower_kg_s,scenario numerical control,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,setup_input,true,true,root-search bound,,,,false,Broad salt natural-circulation numerical lower bound; not a measured or CFD mdot anchor.
mdot_search_upper_kg_s,scenario numerical control,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,setup_input,true,true,root-search bound,,,,false,Broad salt natural-circulation numerical upper bound; not a measured or CFD mdot anchor.
imposed_cooler_duty_W,CFD/OpenFOAM boundary setup,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,setup_input,true,false,cooler sink input,,,,false,Allowed only for forward_v0_imposed_cooler; predictive HX must replace this with UA/epsilon-NTU.
internal_Nu_multiplier,future fit package,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,calibrated_parameter,true,true,optional calibrated correction,,,,false,Must come from declared train rows before held-out use.
external_h_or_radiation_terms,future fit package,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,calibrated_parameter,false,true,future calibrated correction,,,,false,Blocked in v0; later low-dimensional fit only.
HX_UA_or_epsilon_NTU,future fit package,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,calibrated_parameter,false,true,future predictive HX,,,,false,Replacement for imposed cooler duty.
cfd_mdot_kg_s,CFD thermal target table,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,validation_target,false,false,validation only,predictive modes must solve mdot from pressure balance,,,false,Can be joined after solve for scoring.
cfd_Tmean_K,CFD thermal target table,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,validation_target,false,false,validation only,measured/CFD temperatures cannot set runtime thermal state,,,false,Can be joined after solve for scoring.
cfd_loop_delta_T_K,CFD thermal target table,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,validation_target,false,false,validation only,measured/CFD temperatures cannot set runtime thermal state,,,false,Can be joined after solve for scoring.
TP_TW_measured_K,Fluid validation table,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/validation_data/validation_cases.csv,validation_target,false,false,validation only,sensor measurements are joined after predictive solve,,,false,Experimental sensor score stream.
CFD_sensor_reference_K,CFD sensor reference packages,reports/2026-07/2026-07-01/2026-07-01_local_1d_validation_refresh/cfd_sensor_reference.csv,validation_target,false,false,validation only,CFD sensors are joined after predictive solve,,,false,CFD sensor score stream when available.
heater_wallHeatFlux_W,CFD wallHeatFlux diagnostic,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,diagnostic_cfd_evidence,false,false,diagnostic only,realized CFD wall flux would leak target information,,,false,Used to diagnose heater transfer efficiency later.
cooler_wallHeatFlux_W,CFD wallHeatFlux diagnostic,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,diagnostic_cfd_evidence,false,false,diagnostic only,realized CFD wall flux would leak target information,,,false,"Use imposed cooler setup duty in v0, not realized wallHeatFlux."
test_section_wallHeatFlux_W,CFD wallHeatFlux diagnostic,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,diagnostic_cfd_evidence,false,false,diagnostic only,realized CFD wall flux would leak target information,,,false,"Feeds future heater/test-section contract, not v0 runtime."
time_window_uncertainty,uncertainty packages,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,uncertainty_metadata,false,false,score annotation,uncertainty is not a boundary condition,,,false,Added to later scorecards before thesis-strength claims.
mesh_uncertainty,mesh/GCI packages,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,uncertainty_metadata,false,false,score annotation,uncertainty is not a boundary condition,,,false,Thermal mesh closure remains blocked.
source_envelope_gate,lit-rev source envelope gate,work_products/2026-07/2026-07-13/2026-07-13_litrev_todo_campaign_index/README.md,blocked_closure_gate,false,false,pre-score admission gate,predictive scoring must state whether candidate closure sources overlap TAMU branch Re/Pr/Gr/Ri/Ra/Gz/Bo/L/D/reset/orientation/heating-cooling envelope,source_envelope_gate,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv,true,"Gate output classifies source overlap and admissibility by branch before Chen, Tian, Everts/Meyer, Muzychka-Yovanovich, or related forms can be used."
