id,target_chapter,equation_or_term,latex_form,definition,source_path,assumptions,admission_note
EQ-01,Chapter 4,pressure root,"\Delta p_{\mathrm{drive}}(\dot{m},T) \approx \Delta p_{\mathrm{loss}}(\dot{m},T,\mathrm{geometry},\mathrm{closures})","Compact 1D pressure balance/root that relates buoyancy drive to modeled losses.",reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md,"Steady single-phase loop-scale reduction; geometry and closure slots known separately.","Architecture only; no coefficient admitted."
EQ-02,Chapter 4,buoyancy drive,"\Delta p_{\mathrm{drive}} = \int_{\mathrm{loop}} \rho(T(s),p(s),x) g dz(s)","Thermal-density buoyancy integral around the loop.",reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md,"Density is evaluated from chosen property lane; loop elevation path is known.","Source/property choice must be labeled before fitting."
EQ-03,Chapter 4,pressure loss sum,"\Delta p_{\mathrm{loss}} = \sum_i [ f_i L_i/D_i + K_i ] (1/2)\rho_i V_i^2","Segment and local-loss pressure model slot for 1D loop reduction.",reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md; reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,"Requires pressure basis velocity basis component isolation and recovery policy.","No global multiplier or negative K is admitted by this equation."
EQ-04,Chapter 4,current pressure ledger,"\Delta p_{\mathrm{static}}=\Delta p_{\mathrm{hyd}}+\Delta p_{\mathrm{kin}}+\Delta p_{\mathrm{dist,dev}}+\Delta p_{\mathrm{section/cluster}}+\Delta p_{\mathrm{transient}}+\Delta p_{\mathrm{res}}","Current Chapter 4 decomposition separating hydrostatic kinetic straight/developing section/cluster transient and residual pressure terms.",../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex,"Reduced CFD pressure diagnostics must carry plane and basis metadata.","Diagnostic decomposition; component coefficient admission still gated."
EQ-05,Chapter 4,segment thermal ledger,"\dot{m}\bar{c}_{p,i}(T_{\mathrm{out},i}-T_{\mathrm{in},i})=Q_{\mathrm{heater},i}-Q_{\mathrm{cooler},i}-Q_{\mathrm{passive},i}+Q_{\mathrm{test},i}+Q_{\mathrm{junction},i}+Q_{\mathrm{residual},i}","Finite-segment energy ledger separating source and loss owners before closure fitting.",reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md,"Steady segment balance; terms must be assigned by evidence class and legal runtime status.","Residual term cannot be silently absorbed into Nu."
EQ-06,Chapter 4,current heat ledger,"Q_{\mathrm{balance}}=Q_{\mathrm{heater\ to\ salt}}-Q_{\mathrm{jacket}}-Q_{\mathrm{passive}}-Q_{\mathrm{storage}}-Q_{\mathrm{exchange}}-Q_{\mathrm{res}}","Current Chapter 4 thermal reduction ledger.",../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex,"Bookkeeping form for heat-path attribution.","Not an admitted heat-transfer closure."
EQ-07,Chapter 4,wall-loss resistance form,"Q_{\mathrm{wall\,loss},i}=(T_{\mathrm{drive},i}-T_{\mathrm{env},i})/(R_{\mathrm{int},i}+R_{\mathrm{wall},i}+R_{\mathrm{layer},i}+R_{\mathrm{ext},i})","Fluid+walls thermal resistance representation for passive/external heat loss.",reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,"Thermal resistance owners must be separated; external radiation/convection may already be embedded in CFD wall BC diagnostics.","Internal Nu must not absorb wall conduction external convection radiation cooler or passive-wall residual."
EQ-08,Chapter 4,test-section source/loss slot,"q'_{\mathrm{test\ section\ to\ fluid}}=q'_{\mathrm{electrical\ deposition}}-(T_{\mathrm{drive}}-T_{\mathrm{external}})/R'_{\mathrm{quartz,external}}","Test-section source/loss slot for separating electrical source from external loss path.",reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,"Requires source-side sign convention and external-resistance provenance.","Slot is diagnostic/pending until source-side accounting is admitted."
DEF-01,Chapter 1,CFD high-fidelity reference,"CFD reference","CFD evidence is a high-fidelity computational reference used for model-form selection diagnostics and target construction, not experimental validation.",reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,"No experimental validation data are admitted here.","Allowed as thesis framing; do not call validation."
DEF-02,Chapter 4,fluid+walls,"steady fluid+walls","Final target architecture with fluid pressure/thermal lanes plus wall/material/external boundary representation.",reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,"Steady single-phase segment-local formulation.","Target form; not a final calibrated model."
