claim_id,target_section,allowed_claim,forbidden_claim,evidence_paths,split_or_admission_state,caveat
CL-01,Chapter 1 motivation,"CFD is the current high-fidelity reference used to construct and test reduced-model evidence.","CFD validates the thesis model experimentally.","reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md",context-ready,"Use reference not validation wording."
CL-02,Chapter 1 contribution,"The thesis contribution is a provenance-controlled CFD-to-1D closure/admission workflow and evidence map.","The thesis contribution is one final tuned Nu f_D or K coefficient.","reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md; reports/thesis_dossier/Chapters_and_sections/current/14_csem_narrative_integration_plan.md",context-ready,"Negative and blocked results remain part of the contribution."
CL-03,Chapter 4 model form,"The target architecture is steady fluid+walls with pressure and thermal lanes plus segment-local metadata.","The architecture itself proves final predictive accuracy.","reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md; reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md",architecture-ready,"Different model slots have different admission states."
CL-04,Chapter 4 runtime discipline,"Predictive runtime modes must use setup-known inputs and cannot use protected CFD or validation outputs.","CFD mdot wallHeatFlux cooler duty validation temperatures holdout rows or external tests can be hidden predictive inputs.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md",policy-ready,"This rule must appear anywhere predictive claims are discussed."
CL-05,Chapter 4 split roles,"The final split separates training rows training-support perturbations holdout/testing rows and external test.","Rows can be freely interchanged for tuning selection and scoring.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md",policy-ready,"External-test use depends on matching heat-loss/admission package."
CL-17,Chapter 4 thermal accounting,"Internal Nu must not absorb heat-loss radiation cooler passive wall heater source-placement or residual errors.","A single internal Nu can be fitted from total residual without owner separation.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md; work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/source_envelope_thesis_table.csv",architecture-ready,"Use residual-owner language until admitted thermal closures exist."
CL-18,Chapter 4 radiation/external BC,"Radiation and external heat-loss effects may be embedded in realized CFD wall BC quantities and must not be double counted.","Realized wallHeatFlux can be used both as a diagnostic target and predictive runtime source.","reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md; ../papers/UTexas_Research/3d_analysis/sections/03_methods.tex",diagnostic-only,"The authoritative CFD wall setup is `0/T`, not a post-hoc assumption."
CL-19,Chapter 4 uncertainty,"Time-window uncertainty is a separate evidence label from model-form error.","Time-window scatter is the full model uncertainty.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv",policy-ready,"Same-QOI UQ is required before admission claims."
CL-20,Chapter 4 mesh/GCI,"Mesh/GCI status is row-scoped and must be labeled when using CFD reductions.","Any one mesh statement globally certifies all CFD-derived closures.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv",policy-ready,"Keep mesh caveats compact but explicit."
CL-21,Chapter 4 source/property labels,"Property lane and literature source envelope must be identified before closure fitting or prose generalization.","A literature equation can be imported as an admitted TAMU closure without source matching.","reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md; work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/README.md",policy-ready,"Use source-bounded wording."
CL-22,Chapter 4 sensor policy,"Validation temperatures and sensor QoIs are targets or scoring outputs, not predictive inputs.","Validation temperatures can be supplied to the runtime model as boundary conditions for predictive claims.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md",policy-ready,"Applies to train holdout and external-test scoring."
CL-25,Chapter 1 SAM/CSEM relevance,"The work is relevant to SAM/CSEM because it provides a vetted closure/admission workflow and branchwise evidence map.","The thesis validates SAM or claims SAM-ready closure transfer.","reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md; reports/thesis_dossier/Chapters_and_sections/current/14_csem_narrative_integration_plan.md",context-ready,"Keep SAM language interpretive and forward-looking."
CL-26,Chapter 4 pressure residual naming,"When isolation and recovery are not demonstrated pressure evidence should be section/cluster/effective/residual rather than component K.","A pressure rise or basis-mismatched diagnostic is an admitted negative-loss component coefficient.","reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md; work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_thesis_rules.csv",diagnostic-only,"Supports negative result and pressure-basis ladder."
CL-30,Chapter 4 pressure/F6 snapshot,"The current S14/F6 pressure path admits zero coefficient and should be reported as non-admission.","A non-admitted F6/corner coefficient is ready for predictive runtime use.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/14_csem_narrative_integration_plan.md",non-admitted,"Detailed result prose belongs in Ch7/Ch8 packet."

