case_id,source_id,branch,mesh_level,family_role,same_qoi_formula_id,endpoint_pair,sign_convention,upstream_status,downstream_status,sample_pair_status,delta_p_rgh_pa,delta_p_total_pressure_pa,delta_dynamic_head_pa,mean_rho_kg_m3,upstream_u_along_tangent_m_s,downstream_u_along_tangent_m_s,min_flow_alignment,ordinary_reverse_flow_gate_status,source_path
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,coarse,cross_case_candidate,section_mean_pressure_delta_v1,right_leg__s03->right_leg__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,5.7051731187,5.70256984311,-0.0026032755897,1960.44261885,-0.013747489543682217,-0.013841429669708404,0.999999661636,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,coarse,cross_case_candidate,section_mean_pressure_delta_v1,test_section_span__s03->test_section_span__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,0.620754978527,0.627308601946,0.00655362341906,1954.30446833,-0.014841835477539565,-0.014613512193296513,0.889022583005,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,coarse,cross_case_candidate,section_mean_pressure_delta_v1,right_leg__s03->right_leg__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,7.84778896614,7.84846140139,0.000672435247688,1950.96257522,-0.01629300621024129,-0.016269845217460117,0.999999658676,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,coarse,cross_case_candidate,section_mean_pressure_delta_v1,test_section_span__s03->test_section_span__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,0.375476132678,0.39039825614,0.0149221234619,1944.65654673,-0.016962606056497544,-0.016503311192622827,0.88407420114,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,coarse,cross_case_candidate,section_mean_pressure_delta_v1,right_leg__s03->right_leg__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,9.77374491748,9.77758632459,0.00384140710443,1939.81465766,-0.01915418358764039,-0.019048526204227176,0.999984001658,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,coarse,cross_case_candidate,section_mean_pressure_delta_v1,test_section_span__s03->test_section_span__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,0.262965330775,0.292659001895,0.02969367112,1933.3557274,-0.01973028238514567,-0.01893500890155347,0.868515451161,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,medium,salt2_same_qoi_mesh_member,section_mean_pressure_delta_v1,right_leg__s03->right_leg__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,5.37090248815,5.3683671613,-0.00253532684918,1961.5446951,-0.013828669941782747,-0.013919419967298853,0.999999692867,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,medium,salt2_same_qoi_mesh_member,section_mean_pressure_delta_v1,test_section_span__s03->test_section_span__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,0.717977803291,0.722847926384,0.00487012309324,1955.4357935,-0.015146681168163088,-0.014980779565174133,0.887983655414,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,fine,salt2_same_qoi_mesh_member,section_mean_pressure_delta_v1,right_leg__s03->right_leg__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,5.29840830225,5.29566896854,-0.00273933370688,1961.56671322,-0.013764779773642002,-0.013863293324333649,0.999999699449,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,fine,salt2_same_qoi_mesh_member,section_mean_pressure_delta_v1,test_section_span__s03->test_section_span__s01,p_upstream_minus_p_downstream,sampled,sampled,sampled,0.714526877205,0.719257439441,0.00473056223566,1955.4631172,-0.015501358312039649,-0.015343922053379852,0.8853376565,blocked_missing_RAF_RMF_raw_face_metrics,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
