case_id,branch,mesh_level,endpoint_pair,same_endpoint_labels,same_formula,same_sign,pressure_rows_available,raw_velocity_flux_RAF_RMF_available,raw_fields_available,inventory_status,source_path
salt_2,right_leg,coarse,right_leg__s03->right_leg__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,test_section_span,coarse,test_section_span__s03->test_section_span__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_3,right_leg,coarse,right_leg__s03->right_leg__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_3,test_section_span,coarse,test_section_span__s03->test_section_span__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_4,right_leg,coarse,right_leg__s03->right_leg__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
salt_4,test_section_span,coarse,test_section_span__s03->test_section_span__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-01/2026-07-01_claude_section_mean_pressure/section_mean_pressure_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
salt_2,right_leg,medium,right_leg__s03->right_leg__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,test_section_span,medium,test_section_span__s03->test_section_span__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,right_leg,fine,right_leg__s03->right_leg__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,test_section_span,fine,test_section_span__s03->test_section_span__s01,true,true,true,true,false,partial_p_rgh_total_pressure_Urho_only,partial_endpoint_qoi_available_not_raw_contract,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
