model_form_id,case_id,sensor_kind,finite_rows,mean_signed_error_K,rmse_K,local_shape_rmse_after_bias_K,max_abs_signed_error_K,signed_error_span_K,signed_error_slope_K_per_sensor_index,shape_fraction_local_over_total,shape_class,primary_error_mode
M1,salt_2,TP,5,-74.14813512306,74.24556882554856,3.8024397433363304,80.9597398717,11.061068715899992,1.0456293250499995,0.051214366102719885,globally_cold_bias_dominated,global_bias
M1,salt_2,TW,10,-75.82771838366999,76.64452463553664,11.159761705978244,98.6587336228,38.5635455589,2.4033273988670993,0.14560416101535792,globally_cold_bias_dominated,global_bias
M1,salt_3,TP,5,-190.68191417000003,190.7501546384684,5.1018725056944545,200.246305387,14.588988182999998,1.6734591549324342,0.02674636104680549,globally_cold_bias_dominated,global_bias
M1,salt_3,TW,10,-192.5095263599,192.92207626693863,12.609907685366164,218.026456689,43.37852880600002,2.829725921919913,0.06536269943476211,globally_cold_bias_dominated,global_bias
M1,salt_4,TP,5,-204.1302003754,204.43277005578014,11.118397698343436,225.827318405,29.80456712099999,4.383061009162162,0.054386572638573286,globally_cold_bias_dominated,global_bias
M1,salt_4,TW,10,-211.13808949199998,211.91352553640283,18.11213601251486,244.913607944,59.054147322999995,4.327418813668831,0.08546946669245767,globally_cold_bias_dominated,global_bias
M1b,salt_2,TP,5,-178.10210107580002,178.17733490191915,5.1772835672944035,187.783510202,14.759839045999996,1.6790905528513511,0.02905691439455153,globally_cold_bias_dominated,global_bias
M1b,salt_2,TW,10,-180.6799745759,181.0863349312327,12.124664369735065,205.190074199,41.93080302300001,2.7213178058268404,0.06695515911976124,globally_cold_bias_dominated,global_bias
M1b,salt_3,TP,5,70.58984228486,70.77137240537742,5.065700182522315,75.5926827962,14.493212475899995,1.657272835186487,0.07157837993455965,globally_hot_bias_dominated,global_bias
M1b,salt_3,TW,10,66.82905173314,68.0042884171028,12.588132806965426,84.7830027901,43.3188432925,2.8259498162679653,0.18510792627894865,globally_hot_bias_dominated,global_bias
M1b,salt_4,TP,5,-206.3993362618,206.45818293469515,4.9290253990473945,215.754523068,13.772903702999997,1.7093270262297269,0.02387420701366192,globally_cold_bias_dominated,global_bias
M1b,salt_4,TW,10,-207.7076817566,208.1311118033558,13.269462679399142,234.429656079,45.02832493400001,2.9900782446926413,0.06375530579943403,globally_cold_bias_dominated,global_bias
M2,salt_2,TP,5,-20.547234189519997,20.997764460266474,4.326347130068313,28.1330585035,12.772693174199999,1.0925590987689187,0.20603846367811904,globally_cold_bias_dominated,global_bias
M2,salt_2,TW,10,-23.184287167573004,25.83733426365393,11.404239140920152,46.3574304286,39.00307169797,2.4020269181376404,0.44138605881500714,globally_cold_bias_plus_local_shape,global_bias
M2,salt_3,TP,5,-23.21369726306,23.59733568629259,4.237748325535435,30.6580637318,12.592886374099997,1.0802424128608108,0.17958588129917957,globally_cold_bias_dominated,global_bias
M2,salt_3,TW,10,-25.134476241795,27.814794402744557,11.913055515592662,49.3115909907,40.500361771049995,2.513708887703138,0.4282992476269093,globally_cold_bias_plus_local_shape,global_bias
M2,salt_4,TP,5,-27.244161980580003,27.53572163331592,3.9964489041374804,34.4203961173,11.7151073789,1.1033973835283784,0.14513688645450684,globally_cold_bias_dominated,global_bias
M2,salt_4,TW,10,-28.666960017430007,31.305919900259198,12.580382512488042,54.0292033957,42.1660770562,2.674096871648052,0.4018531495822259,globally_cold_bias_plus_local_shape,global_bias
M3,salt_2,TP,5,-15.0914226931,15.649099124890764,4.140442551085957,22.3658478906,12.253014847100001,1.0544100561148653,0.2645802495109991,globally_cold_bias_plus_local_shape,global_bias
M3,salt_2,TW,10,-17.642415518851,20.954929641690626,11.307265405411236,40.6331594552,38.74881876692,2.3820990208296102,0.5395993018709547,globally_cold_bias_plus_local_shape,global_bias
M3,salt_3,TP,5,-13.4850396806,14.060010458550964,3.979648088362332,20.5146002437,11.871720505499999,1.0378374420270264,0.2830473064080834,globally_cold_bias_plus_local_shape,global_bias
M3,salt_3,TW,10,-15.319796817658801,19.33158461493911,11.790419381438555,39.250746372,40.190283163512,2.4903358907085584,0.6099044447875797,mixed_sign_local_shape_dominated,global_bias
M3,salt_4,TP,5,-12.5313987993,13.056066881413242,3.6640041682342916,19.1796282577,10.779847086599998,1.054435456189189,0.2806361365573584,globally_cold_bias_plus_local_shape,global_bias
M3,salt_4,TW,10,-13.86737712133,18.622515470716774,12.429558891284065,38.9143001412,41.78890864537,2.6461773060829,0.6674479025580133,mixed_sign_local_shape_dominated,global_bias
