model_form_id,case_id,sensor_kind,sensor,signed_error_K,group_mean_signed_error_K,bias_removed_error_K,abs_bias_removed_error_K,target_K,prediction_source_segment
M1,salt_4,TW,TW1,-244.913607944,-211.13808949199998,-33.77551845200003,33.77551845200003,497.778741115,right_vertical
M1,salt_4,TW,TW2,-241.003031799,-211.13808949199998,-29.864942307000035,29.864942307000035,493.166375763,right_vertical
M1b,salt_4,TW,TW1,-234.429656079,-207.7076817566,-26.7219743224,26.7219743224,497.778741115,right_vertical
M1,salt_3,TW,TW1,-218.026456689,-192.5095263599,-25.516930329100006,25.516930329100006,481.160338645,right_vertical
M1b,salt_3,TW,TW1,41.4641594976,66.82905173314,-25.364892235540005,25.364892235540005,481.160338645,right_vertical
M2,salt_4,TW,TW1,-54.0292033957,-28.666960017430007,-25.362243378269994,25.362243378269994,497.778741115,right_vertical
M1,salt_4,TW,TW9,-185.859460621,-211.13808949199998,25.278628870999967,25.278628870999967,462.663125183,cooled_incline_pre_hx
M3,salt_4,TW,TW1,-38.9143001412,-13.86737712133,-25.04692301987,25.04692301987,497.778741115,right_vertical
M1b,salt_2,TW,TW1,-205.190074199,-180.6799745759,-24.510099623100018,24.510099623100018,467.697970491,right_vertical
M2,salt_3,TW,TW1,-49.3115909907,-25.134476241795,-24.177114748904998,24.177114748904998,481.160338645,right_vertical
M3,salt_3,TW,TW1,-39.250746372,-15.319796817658801,-23.9309495543412,23.9309495543412,481.160338645,right_vertical
M2,salt_2,TW,TW1,-46.3574304286,-23.184287167573004,-23.173143261026993,23.173143261026993,467.697970491,right_vertical
M3,salt_2,TW,TW1,-40.6331594552,-17.642415518851,-22.990743936349002,22.990743936349002,467.697970491,right_vertical
M1,salt_2,TW,TW1,-98.6587336228,-75.82771838366999,-22.83101523913001,22.83101523913001,467.697970491,right_vertical
M1b,salt_4,TW,TW2,-230.107894694,-207.7076817566,-22.4002129374,22.4002129374,493.166375763,right_vertical
M1,salt_4,TP,TP1,-225.827318405,-204.1302003754,-21.697118029600006,21.697118029600006,479.394191779,top_horizontal_exit
M1b,salt_3,TW,TW2,45.6112783176,66.82905173314,-21.21777341554001,21.21777341554001,476.506760488,right_vertical
M1,salt_3,TW,TW2,-213.6724841,-192.5095263599,-21.162957740099984,21.162957740099984,476.506760488,right_vertical
M2,salt_4,TW,TW2,-49.7920915694,-28.666960017430007,-21.125131551969993,21.125131551969993,493.166375763,right_vertical
M3,salt_4,TW,TW2,-34.7066972654,-13.86737712133,-20.83932014407,20.83932014407,493.166375763,right_vertical
M1b,salt_2,TW,TW2,-201.01178013,-180.6799745759,-20.331805554100015,20.331805554100015,463.211943356,right_vertical
M2,salt_3,TW,TW2,-45.0345911719,-25.134476241795,-19.900114930104998,19.900114930104998,476.506760488,right_vertical
M3,salt_3,TW,TW2,-34.9932350715,-15.319796817658801,-19.6734382538412,19.6734382538412,476.506760488,right_vertical
M2,salt_2,TW,TW2,-42.2474436646,-23.184287167573004,-19.063156497026995,19.063156497026995,463.211943356,right_vertical
M3,salt_2,TW,TW2,-36.5322339074,-17.642415518851,-18.889818388549,18.889818388549,463.211943356,right_vertical
M1,salt_2,TW,TW2,-94.4232301643,-75.82771838366999,-18.595511780630005,18.595511780630005,463.211943356,right_vertical
M1b,salt_4,TW,TW9,-189.401331145,-207.7076817566,18.30635061160001,18.30635061160001,462.663125183,cooled_incline_pre_hx
M1b,salt_3,TW,TW9,84.7830027901,66.82905173314,17.953951056959994,17.953951056959994,447.895683748,cooled_incline_pre_hx
M1,salt_3,TW,TW9,-174.647927883,-192.5095263599,17.861598476900014,17.861598476900014,447.895683748,cooled_incline_pre_hx
M1b,salt_2,TW,TW9,-163.259271176,-180.6799745759,17.420703399899992,17.420703399899992,436.077557212,cooled_incline_pre_hx
M2,salt_4,TW,TW9,-11.8631263395,-28.666960017430007,16.803833677930008,16.803833677930008,462.663125183,cooled_incline_pre_hx
M3,salt_4,TW,TW9,2.87460850417,-13.86737712133,16.7419856255,16.7419856255,462.663125183,cooled_incline_pre_hx
M2,salt_3,TW,TW9,-8.81122921965,-25.134476241795,16.323247022144997,16.323247022144997,447.895683748,cooled_incline_pre_hx
M3,salt_3,TW,TW9,0.939536791512,-15.319796817658801,16.259333609170803,16.259333609170803,447.895683748,cooled_incline_pre_hx
M2,salt_2,TW,TW9,-7.35435873063,-23.184287167573004,15.829928436943003,15.829928436943003,436.077557212,cooled_incline_pre_hx
M3,salt_2,TW,TW9,-1.88434068828,-17.642415518851,15.758074830571,15.758074830571,436.077557212,cooled_incline_pre_hx
M1,salt_2,TW,TW9,-60.0951880639,-75.82771838366999,15.732530319769992,15.732530319769992,436.077557212,cooled_incline_pre_hx
M1,salt_4,TW,TW6,-195.567421586,-211.13808949199998,15.570667905999983,15.570667905999983,468.959118106,heated_incline
M1,salt_4,TW,TW7,-199.881771521,-211.13808949199998,11.256317970999987,11.256317970999987,480.810639602,left_lower_vertical
M1,salt_4,TW,TW8,-200.080581219,-211.13808949199998,11.057508272999968,11.057508272999968,478.947183579,left_upper_vertical
