candidate_family,branch_or_feature,dominant_use_label,admitted_rows,future_candidate_rows,recirc_cv_dependency,f3_shah_apparent_comparison_status,current_decision
current_f6_endpoint_pair,right_leg,diagnostic_only,0,0,recirc_cv_needed_to_separate_low_recirc_anchor_from_exchange_cell_region,not_evaluated_no_admitted_or_ordinary_candidate,right_leg can support diagnostic pressure-basis discussion but must not be fit as F6 now.
current_f6_endpoint_pair,test_section_span,diagnostic_only,0,0,recirc_cv_needed_as_negative_control_context; endpoint_and_same_qoi_uq_still_primary,not_evaluated_no_admitted_or_ordinary_candidate,test_section_span can support diagnostic pressure-basis discussion but must not be fit as F6 now.
legwise_inventory,corner_lower_left,do_not_use,0,0,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,corner_lower_left should not be used for ordinary F6 under current evidence.
legwise_inventory,corner_lower_right,do_not_use,0,0,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,corner_lower_right should not be used for ordinary F6 under current evidence.
legwise_inventory,corner_upper_left,do_not_use,0,0,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,corner_upper_left should not be used for ordinary F6 under current evidence.
legwise_inventory,corner_upper_right,do_not_use,0,0,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,corner_upper_right should not be used for ordinary F6 under current evidence.
legwise_inventory,left_lower_leg,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,left_lower_leg should not be used for ordinary F6 under current evidence.
legwise_inventory,left_upper_leg,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,left_upper_leg should not be used for ordinary F6 under current evidence.
legwise_inventory,lower_leg,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,lower_leg should not be used for ordinary F6 under current evidence.
legwise_inventory,right_leg,future_candidate,0,3,recirc_cv_needed_to_separate_low_recirc_anchor_from_exchange_cell_region,not_evaluated_no_admitted_or_ordinary_candidate,"right_leg remains the preferred future ordinary F6 lane after endpoint, low-reverse-flow, and same-QOI UQ evidence lands."
legwise_inventory,test_section_complex,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,test_section_complex should not be used for ordinary F6 under current evidence.
legwise_inventory,test_section_span,future_candidate,0,3,recirc_cv_needed_as_negative_control_context; endpoint_and_same_qoi_uq_still_primary,not_evaluated_no_admitted_or_ordinary_candidate,"test_section_span remains the preferred future ordinary F6 lane after endpoint, low-reverse-flow, and same-QOI UQ evidence lands."
legwise_inventory,upper_leg,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,upper_leg should not be used for ordinary F6 under current evidence.
low_recirc_anchor,alternate two-tap component candidate,do_not_use,0,0,no_direct_release_from_recirc_cv_preflight,not_evaluated_no_admitted_or_ordinary_candidate,alternate two-tap component candidate should not be used for ordinary F6 under current evidence.
low_recirc_anchor,corner_lower_right,future_candidate,0,2,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,"corner_lower_right remains the preferred future ordinary F6 lane after endpoint, low-reverse-flow, and same-QOI UQ evidence lands."
pressure_corner_section_effective,corner_lower_right,do_not_use,0,0,recirc_cv_context_only; current corner rows remain section_effective_or_do_not_use,not_evaluated_no_admitted_or_ordinary_candidate,"corner_lower_right must remain section-effective/pressure-recovery diagnostic evidence, not F6."
