case_id,component_id,cell_count,fraction_of_reverse_candidates,cx_min,cx_max,cy_min,cy_max,cz_min,cz_max,mean_uy,status
salt_2,0,71775,0.5272146319964742,0.6587913706898689,0.8693784773349762,-0.25633224844932556,-0.19608999975025654,-0.01090657478198409,0.01090657478198409,0.004013802348125546,largest_component
salt_2,1,18685,0.13724842074335245,0.8754516243934631,0.9114465117454529,0.6952285021543503,0.7977534830570221,-0.010404962464235723,0.010404962464235723,0.003003849693633404,stray_component
salt_2,2,17498,0.1285294549728221,0.8707674741744995,0.9305039942264557,-0.2680094987154007,-0.23292699828743935,-0.011010437505319715,0.011010437505319715,0.001230646975439339,stray_component
salt_2,3,12536,0.0920816806228882,0.8776804953813553,0.8969217389822006,-0.3136885017156601,-0.2668924927711487,-0.00940236751921475,0.00940236751921475,3.806356338211525e-06,stray_component
salt_2,4,8600,0.06317026590274717,0.7535143718123436,0.8218294978141785,0.6939452588558197,0.7138727456331253,-0.01090657478198409,0.01090657478198409,0.0012968518413139529,stray_component
salt_2,5,4326,0.03177611282503305,0.9043485224246979,0.9310169816017151,0.691591739654541,0.7165882587432861,-0.010414367308840156,0.010414367308840156,9.465046575820618e-05,stray_component
salt_2,6,1331,0.009776700455413545,0.7889859974384308,0.8331544995307922,0.6937447488307953,0.701444998383522,-0.010345125105232,-0.0033671000273898244,0.00017486323153268222,stray_component
salt_2,7,1331,0.009776700455413545,0.7889859974384308,0.8331544995307922,0.6937447488307953,0.701444998383522,0.0033671000273898244,0.010345125105232,0.00017486325211870776,stray_component
salt_2,8,36,0.0002644336712208021,0.876559890806675,0.8784446343779564,0.6889490187168121,0.6937166303396225,-0.0062327824998646975,0.0062327824998646975,0.0002193196611111111,stray_component
salt_2,9,10,7.345379756133391e-05,0.8978923708200455,0.8993176221847534,0.6931330114603043,0.6950153782963753,-0.0062327824998646975,0.0062327824998646975,5.683029e-05,stray_component
salt_2,10,4,2.938151902453357e-05,0.8991569951176643,0.8993176221847534,-0.2563825026154518,-0.25617412850260735,-0.002263578731799498,0.002263578731799498,5.4384450000000004e-05,stray_component
salt_2,11,2,1.4690759512266785e-05,0.8999472558498383,0.9001860022544861,0.693716362118721,0.6942748725414276,0.0036236812302377075,0.004953444993589073,1.077058e-05,stray_component
salt_2,12,2,1.4690759512266785e-05,0.8999472558498383,0.9001860022544861,0.693716362118721,0.6942748725414276,-0.004953444993589073,-0.0036236812302377075,1.079367e-05,stray_component
salt_2,13,2,1.4690759512266785e-05,0.8757211267948151,0.8757211267948151,0.6931330114603043,0.6931330114603043,-0.0007626587466802446,0.000762658746680245,0.000149973,stray_component
salt_2,14,2,1.4690759512266785e-05,0.8693954944610596,0.8693954944610596,0.7149965018033981,0.7149965018033981,-0.0007147449941840023,0.0007147449941840023,9.157365e-06,stray_component
salt_3,0,73349,0.5300472604818546,0.6587913706898689,0.8693784773349762,-0.25633224844932556,-0.19608999975025654,-0.01090657478198409,0.01090657478198409,0.004525187367902172,largest_component
salt_3,1,22029,0.15918977901750228,0.8754516243934631,0.9282619953155518,0.691591739654541,0.7977534830570221,-0.010777799878269434,0.010777799878269434,0.002978875845166233,stray_component
salt_3,2,10833,0.07828330274168606,0.8773165047168732,0.8984887450933456,-0.3136885017156601,-0.2691265046596527,-0.010506025049835443,0.010969249997287989,5.339136151106806e-06,stray_component
salt_3,3,10197,0.07368732927692909,0.8952174931764603,0.9310169816017151,-0.25792424380779266,-0.23292699828743935,-0.010776087525300682,0.010554812615737319,0.0005675026589980382,stray_component
salt_3,4,10076,0.0728129380988857,0.7520791292190552,0.8331544995307922,0.6937447488307953,0.7138727456331253,-0.01090657478198409,0.01090657478198409,0.001530697415472407,stray_component
salt_3,5,6823,0.049305545518925874,0.8707674741744995,0.8984887450933456,-0.27024349570274353,-0.23445625230669975,-0.011010437505319715,0.011010437505319715,0.0037465871241612277,stray_component
salt_3,6,1882,0.013600034686592186,0.9125730097293854,0.9310169816017151,0.6919157356023788,0.7165882587432861,-0.009994262596592307,0.009941755095496774,0.00012411918384697124,stray_component
salt_3,7,1515,0.010947955658972988,0.7923834919929504,0.8388170003890991,0.6937447488307953,0.701444998383522,-0.0101359523832798,-0.003271147492341697,0.00023231707234323438,stray_component
salt_3,8,1514,0.010940729285600729,0.7923834919929504,0.8388170003890991,0.6937447488307953,0.701444998383522,0.003271147492341697,0.0101359523832798,0.00023240231988110968,stray_component
salt_3,9,139,0.0010044658987440563,0.8765502572059631,0.8784446343779564,0.6873375177383423,0.6937166303396225,-0.0062327824998646975,0.0062327824998646975,0.0005555617069064749,stray_component
salt_3,10,10,7.226373372259398e-05,0.8766127526760101,0.8772740066051483,0.6859675049781799,0.6859675049781799,-0.003513690026011318,0.003513690026011318,3.3899453e-05,stray_component
salt_3,11,6,4.335824023355639e-05,0.8988509997725487,0.8993176221847534,-0.2563825026154518,-0.25577450171113014,-0.003695518709719181,0.003695518709719181,5.828760000000001e-05,stray_component
salt_3,12,4,2.8905493489037593e-05,0.8868002444505692,0.8882379978895187,-0.3136885017156601,-0.31348051130771637,-0.010969249997287989,-0.010969249997287989,1.34586875e-08,stray_component
salt_3,13,2,1.4452746744518797e-05,0.8757211267948151,0.8757211267948151,0.6931330114603043,0.6931330114603043,-0.0007626587466802446,0.000762658746680245,0.00012181950000000002,stray_component
salt_3,14,2,1.4452746744518797e-05,0.8693954944610596,0.8693954944610596,0.7149965018033981,0.7149965018033981,-0.0007147449941840023,0.0007147449941840023,1.058345e-05,stray_component
salt_3,15,1,7.226373372259398e-06,0.8751573711633682,0.8751573711633682,0.7150494903326035,0.7150494903326035,0.000752923748223111,0.000752923748223111,8.2992e-06,stray_component
salt_4,0,74256,0.5304227324028172,0.6587913706898689,0.8693784773349762,-0.25633224844932556,-0.19608999975025654,-0.01090657478198409,0.01090657478198409,0.005209056116349313,largest_component
