candidate_id,candidate_family,case_scope,branch_or_feature,candidate_bucket,pressure_basis_status,endpoint_status,ordinary_flow_status,decomposition_status,same_qoi_uq_status,source_property_status,f3_comparison_status,forbidden_shortcut_status,score,use_label,decision_reason,admission_status,s11_candidate_status,publication_use,next_action,delta_p_static_pa,max_reverse_area_fraction,max_reverse_mass_fraction,terminal_ready_cases,gross_static_pressure_rise_pa,hydrostatic_fraction_of_gross,source_paths
named_pressure:001,legwise_inventory,salt_2,lower_leg,blocked_missing_endpoint,blocked,blocked,blocked,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,future_gate_only_until_endpoint_definition_exists,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:003,legwise_inventory,salt_2,left_lower_leg,excluded_recirculation,blocked,blocked,fail,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,diagnostic_or_recirc_model_only_not_ordinary_F6,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:005,legwise_inventory,salt_2,left_upper_leg,excluded_recirculation,blocked,blocked,fail,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,diagnostic_or_recirc_model_only_not_ordinary_F6,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:006,legwise_inventory,salt_2,upper_leg,blocked_missing_endpoint,blocked,blocked,blocked,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,future_gate_only_until_endpoint_definition_exists,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:007,legwise_inventory,salt_3,lower_leg,blocked_missing_endpoint,blocked,blocked,blocked,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,future_gate_only_until_endpoint_definition_exists,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:009,legwise_inventory,salt_3,left_lower_leg,excluded_recirculation,blocked,blocked,fail,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,diagnostic_or_recirc_model_only_not_ordinary_F6,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:011,legwise_inventory,salt_3,left_upper_leg,excluded_recirculation,blocked,blocked,fail,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,diagnostic_or_recirc_model_only_not_ordinary_F6,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:012,legwise_inventory,salt_3,upper_leg,blocked_missing_endpoint,blocked,blocked,blocked,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,future_gate_only_until_endpoint_definition_exists,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:013,legwise_inventory,salt_4,lower_leg,blocked_missing_endpoint,blocked,blocked,blocked,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,future_gate_only_until_endpoint_definition_exists,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:015,legwise_inventory,salt_4,left_lower_leg,excluded_recirculation,blocked,blocked,fail,blocked,blocked,pass_source_property_labels_available,blocked_missing_endpoint_pairs_and_same_qoi_UQ,closed,2.0/8,do_not_use,outside_ordinary_F6_use_due_to_recirculation_component_cluster_corner_or_missing_slot_basis,not_admitted,not_ready,diagnostic_or_recirc_model_only_not_ordinary_F6,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,,,,,,,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
