family_group,family,source_count,case_labels,source_ids,primary_source_paths,branch,variable,support_status,sign_status,interpretability_status,headline_allowed,internal_only,primary_limitation,recommended_use,usable_fraction_min,usable_fraction_max,min_abs_bulk_minus_wall_temp_k_min,min_abs_bulk_minus_wall_temp_k_max,mean_metric_min,mean_metric_max,explanation
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,lower_leg,effective_htc,mixed_with_blocked_cases,mixed_driver_or_heat_role,internal_only,no,yes,thermal_qc_marginal,diagnostic_only,0.739130,0.760870,0.051128,1.699260,191.134451,252.086836,"salt_all / lower_leg / Effective HTC: support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,lower_leg,effective_ua,mixed_with_blocked_cases,mixed_driver_or_heat_role,internal_only,no,yes,thermal_qc_marginal,diagnostic_only,0.739130,0.760870,0.051128,1.699260,13.237419,17.492758,"salt_all / lower_leg / Effective UA': support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,lower_leg,thermal_resistance,mixed_with_blocked_cases,mixed_driver_or_heat_role,internal_only,no,yes,thermal_qc_marginal,diagnostic_only,0.739130,0.760870,0.051128,1.699260,0.085109,0.108611,"salt_all / lower_leg / Effective R'_th: support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,right_leg,effective_htc,all_cases_blocked,stable_net_cooling,internal_only,no,yes,thermal_low_usable_fraction,diagnostic_only,0.731183,0.731183,2.169732,3.872148,27.017181,34.233357,"salt_all / right_leg / Effective HTC: support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,right_leg,effective_ua,all_cases_blocked,stable_net_cooling,internal_only,no,yes,thermal_low_usable_fraction,diagnostic_only,0.731183,0.731183,2.169732,3.872148,1.873524,2.373747,"salt_all / right_leg / Effective UA': support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,right_leg,thermal_resistance,all_cases_blocked,stable_net_cooling,internal_only,no,yes,thermal_low_usable_fraction,diagnostic_only,0.731183,0.731183,2.169732,3.872148,0.434646,0.539212,"salt_all / right_leg / Effective R'_th: support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,left_lower_leg,effective_htc,all_cases_paper_safe,stable_net_cooling,headline_eligible,yes,no,safe_salt_subset,headline_evidence,0.941176,0.941176,2.032076,4.396661,60.374949,186.272398,"salt_all / left_lower_leg / Effective HTC: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,left_lower_leg,effective_ua,all_cases_paper_safe,stable_net_cooling,headline_eligible,yes,no,safe_salt_subset,headline_evidence,0.941176,0.941176,2.032076,4.396661,4.185813,12.941043,"salt_all / left_lower_leg / Effective UA': support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,left_lower_leg,thermal_resistance,all_cases_paper_safe,stable_net_cooling,headline_eligible,yes,no,safe_salt_subset,headline_evidence,0.941176,0.941176,2.032076,4.396661,0.091257,0.252123,"salt_all / left_lower_leg / Effective R'_th: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt,salt_all,9,"Salt 2 val, Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst","val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,test_section_span,effective_htc,all_cases_paper_safe,mixed_driver_or_heat_role,headline_eligible,yes,no,safe_salt_subset,headline_evidence,1.000000,1.000000,2.165624,3.728268,42.577943,245.205204,"salt_all / test_section_span / Effective HTC: support=all_cases_paper_safe, sign=mixed_driver_or_heat_role, usable_fraction_range=1.000-1.000, min_abs_delta_t_range=2.166-3.728 K."
