case_id,source_id,patch_name,role,role_group,bc_type,one_d_segment,parent_span,area_m2,h_W_m2K,Ta_K,Tsur_K,emissivity,thickness_total_m,wall_layer_metadata_status,imposed_Q_W,realized_wallHeatFlux_W,realized_external_loss_W,source_kind,setup_radiation_policy,realized_flux_replay_policy,predictive_runtime_policy,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.002924521,4.344102411788404,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-1.209006705,1.209006705,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left_left_extension,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.002183347,3.6520477197808914,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-0.889811843,0.889811843,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left_left_step,junction_other,junction_or_stub_diagnostic,zeroGradient,junction,junction,0.0,,,,,,no_wall_layer_metadata,0.0,0.0,-0.0,passive_external_loss_or_geometry_gap,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left_left_stub,junction_other,junction_or_stub_diagnostic,externalTemperature,junction,junction,0.000505262,78.24068323047184,299.19,,,,h_only,0.0,-4.808004156,4.808004156,passive_external_loss_or_geometry_gap,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left_lower_extension,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.001910429,5.714373397226398,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-0.276076876,0.276076876,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_left_lower_stub,junction_other,junction_or_stub_diagnostic,externalTemperature,junction,junction,0.000386841,85.1784703534673,299.19,,,,h_only,0.0,-0.500612434,0.500612434,passive_external_loss_or_geometry_gap,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_right,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.00292452,4.343717936074042,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-1.209077086,1.209077086,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_right_lower_extension,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.003544421,4.814425602389898,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-0.595301259,0.595301259,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_right_lower_stub,junction_other,junction_or_stub_diagnostic,externalTemperature,junction,junction,0.000386841,64.70511208873087,299.19,,,,h_only,0.0,-0.29245768,0.29245768,passive_external_loss_or_geometry_gap,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_lower_right_right_extension,junction_other,junction_or_stub_diagnostic,rcExternalTemperature,junction,junction,0.002183347,3.6516960127672866,299.19,299.19,0.95,0.041656001,h_and_layers_present,0.0,-0.853812114,0.853812114,passive_external_loss_or_geometry_gap,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
