model_form,fit_family,case_count,mean_abs_mdot_error_pct,rmse_mdot_error_pct,mean_energy_error_pct_of_heater,mean_tp_rmse_k,mean_tw_rmse_k,all_roots_accepted,major_loss_multiplier,k90,k20,total_fixed_k,insulation_thickness_in,radiation_on,mdot_rank
fit_major_k90_1p4,two_parameter_fit,3,3.102826024132957,3.594284676386931,14.027475044806721,76.81333629159106,77.15218253473887,False,2.1,0.0,0.0,0.0,1.4,True,1
fit_major_defaultK_1p4,one_parameter_fit,3,3.1450850258983576,4.582820620167634,14.056815642157588,76.83547963618871,77.1162496552031,False,2.1,1.0,0.1,4.4,1.4,True,2
fit_k90_major1_1p4,one_parameter_fit,3,4.8645025238381185,6.024114684469285,14.072633727866156,76.7721214767994,77.09092144705555,False,1.0,12.5,0.0,50.0,1.4,True,3
cfd_casewise_closures_1p4_rad_on,casewise_cfd_closure_from_claude,3,13.915191489520781,14.744204952412373,14.228523111457228,76.94055603797347,76.89925603670326,False,1.8573170117174584,11.720886665355481,0.0,46.883546661421924,1.4,True,4
boundary_default_1p0_rad_on,matched_boundary_sweep,3,27.36701203760154,27.445999067116126,10.402523617330266,65.65596849224367,66.5155695750983,True,1.0,1.0,0.1,4.4,1.0,True,5
boundary_default_1p4_rad_off,matched_boundary_sweep,3,32.67723836898755,34.659413904091814,30.15425807394728,85.205849310659,86.43853691806093,False,1.0,1.0,0.1,4.4,1.4,False,6
boundary_default_1p4_rad_on,matched_boundary_sweep,3,35.39310609981795,35.743314791957076,13.734830560407255,76.46119667893926,77.47897679272648,False,1.0,1.0,0.1,4.4,1.4,True,7
default_1p4_rad_on,unfit_reference,3,35.39310609981795,35.743314791957076,13.734830560407255,76.46119667893926,77.47897679272648,False,1.0,1.0,0.1,4.4,1.4,True,8
boundary_default_2p0_rad_on,matched_boundary_sweep,3,38.88084160478393,40.24184671895707,19.595857346390357,82.81896933595537,84.08907430543682,False,1.0,1.0,0.1,4.4,2.0,True,9
zero_minor_1p4_rad_on,ablation,3,44.510668423334124,44.73378005741485,13.670348526140927,76.40615838709907,77.54796704310803,False,1.0,0.0,0.0,0.0,1.4,True,10
