source_id,path,role,mutation_status,notes
READONLY-001,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-002,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/next_agent_task_matrix.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-003,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-004,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-005,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-006,reference/geometry_reference.md,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-007,operational_notes/maps/pressure-and-momentum-budget.md,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-008,../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/06_minor_losses_quartz_transition.tex,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-009,../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/schemas/minor_loss_table_schema.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-010,../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/bibliography/references.bib,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-011,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-012,work_products/2026-07/2026-07-17/2026-07-17_named_pressure_extraction_readiness/named_pressure_readiness.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-013,work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/corner_k_gate_matrix.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-014,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-015,work_products/2026-07/2026-07-18/2026-07-18_two_tap_separated_admission_review/final_gate_review.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-016,work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/section_effective_model_contract.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
READONLY-017,work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/pressure_f6_two_tap_progress.csv,read_only_context,not_modified,Used as provenance or guardrail context for inventory rows.
GENERATED-001,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
GENERATED-002,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/source_envelope_status.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
GENERATED-003,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/inventory_gap_queue.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
GENERATED-004,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/summary.json,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
GENERATED-005,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/README.md,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
GENERATED-006,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/source_manifest.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_inventory_source_envelope.py.
