fitting_id,fitting_cluster_id,branch_or_segment_location,adjacent_spans,geometry_class,fitting_type,flow_mode,D_up_m,D_down_m,area_ratio_A_down_over_A_up,known_geometry_evidence,missing_geometry_or_basis_fields,candidate_source_family,usable_source_evidence,source_envelope_status,pressure_basis_requirements,velocity_basis_requirements,coefficient_label_policy,invalid_single_stream_flag,pressure_residual_assignment,admission_status,next_admission_or_extraction_action
FIT-CORNER-LOWER-LEFT,CLUSTER-CORNER-LOWER-LEFT,heater outlet to lower upcomer inlet,lower_leg;left_lower_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_recirculation_adjacent,0.030,0.030,1.0,geometry_reference names corner_lower_left and adjacent spans; prior two-tap rows preserve diagnostic apparent/upper-bound labels only,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,method evidence supports pressure-basis decomposition and section/cluster naming; sharp-miter elbow equation is only a screening reference because TAMU corner geometry and Re envelope are not matched,method_supported_geometry_incomplete_recirc_adjacent,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,likely_true_until_low_reverse_gate_passes,unresolved_minor_loss_or_cluster_residual,no_coefficient_admission;diagnostic_or_section_effective_only,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review
FIT-CORNER-LOWER-RIGHT,CLUSTER-CORNER-LOWER-RIGHT,heater inlet from downcomer,lower_leg;right_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_material_reverse_flow_in_current_endpoint_rows,0.030,0.030,1.0,geometry_reference identifies the strongest Re-dependent corner; two-tap audit reports finite pressure basis plus material reverse flow and missing same-QOI UQ,component_isolation;ordinary_low_reverse_anchor;admissible_straight_reference;same_QOI_mesh_time_UQ;final_q_ref_orientation;recovery_length_D;part_number;bend_radius_ratio_Rc_over_D,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only;Delafosse_Tajsoleiman_exchange_sources_for_recirc_lane,"finite two-tap pressure/velocity endpoints exist for Salt2-Salt4, but separated admission review routes them to apparent cluster/recirculating section evidence, not component K",current_CFD_evidence_diagnostic_recirc_section_only,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,true_for_current_endpoint_rows,recirculating_section_effective_residual_candidate_not_admitted,no_coefficient_admission;blocked_no_component_K;diagnostic_recirc_section_effective_candidate,use nonrecirculating same-topology anchor for ordinary K contrast or recirc residual scorer for section-effective lane
FIT-CORNER-UPPER-RIGHT,CLUSTER-CORNER-UPPER-RIGHT,downcomer inlet from cooler,right_leg;upper_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through,0.030,0.030,1.0,geometry_reference names corner_upper_right; prior two-tap rows are diagnostic apparent/upper-bound only,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,method evidence supports pressure-basis decomposition and section/cluster naming; sharp-miter elbow equation is only a screening reference because TAMU corner geometry and Re envelope are not matched,method_supported_geometry_incomplete,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,evaluate,unresolved_minor_loss_or_cluster_residual,no_coefficient_admission;diagnostic_or_section_effective_only,recover pressure/velocity basis and component isolation before any cluster_K review
FIT-CORNER-UPPER-LEFT,CLUSTER-CORNER-UPPER-LEFT,cooler outlet to upper upcomer,upper_leg;left_upper_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_recirculation_adjacent,0.030,0.030,1.0,geometry_reference names corner_upper_left; prior rows carry recirculation-adjacent and diagnostic-only labels,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,method evidence supports pressure-basis decomposition and section/cluster naming; sharp-miter elbow equation is only a screening reference because TAMU corner geometry and Re envelope are not matched,method_supported_geometry_incomplete_recirc_adjacent,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,likely_true_until_low_reverse_gate_passes,unresolved_minor_loss_or_cluster_residual,no_coefficient_admission;diagnostic_or_section_effective_only,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review
FIT-QUARTZ-LOWER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,lower upcomer to quartz/test-section inlet,left_lower_leg;test_section_span,30mm_to_20p9mm_quartz_contraction_or_reducer_transition,quartz_transition;contraction;reducer,through_inside_recirculating_upcomer,0.030,0.0209,0.485,geometry_reference gives 20.9 mm test-section bore and 30 mm neighboring upcomer sections; upcomer recirculation is persistent,actual transition length;reducer_half_angle;edge_radius;part_number;pressure_tap_planes;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,facility/CFD geometry identifies area change; no geometry-matched contraction K source has been audited,facility_geometry_known_source_coefficient_unresolved,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,true_for_current_upcomer_context,unresolved_minor_loss_or_cluster_residual,no_coefficient_admission;unresolved_quartz_transition_loss,"extract transition geometry and pressure planes, then keep as section/cluster unless recirculation is resolved"
FIT-QUARTZ-UPPER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,quartz/test-section outlet to upper upcomer,test_section_span;left_upper_leg,20p9mm_to_30mm_quartz_expansion_or_diffuser_transition,quartz_transition;expansion;diffuser,through_inside_recirculating_upcomer,0.0209,0.030,2.061,geometry_reference gives 20.9 mm test-section bore and 30 mm neighboring upcomer sections; upcomer recirculation is persistent,actual transition length;expansion_half_angle;edge_radius;recovery_length_D;pressure_recovery_sweep;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,facility/CFD geometry identifies area change; expansion pressure recovery must be separated from irreversible loss,facility_geometry_known_source_coefficient_unresolved,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,true_for_current_upcomer_context,cluster_residual_or_recirc_exchange_cell_candidate,no_coefficient_admission;unresolved_quartz_transition_loss,separate static recovery from loss and keep as test-section complex residual until evidence isolates component
CLUSTER-TEST-SECTION-COMPLEX,CLUSTER-TEST-SECTION-COMPLEX,left upcomer visualization/test-section assembly,left_lower_leg;test_section_span;left_upper_leg,close_coupled_quartz_contraction_test_section_expansion_with_persistent_recirc_cell,cluster;quartz_transition;custom,through_plus_local_exchange,0.030,0.030,1.0 overall;local 0.485 then 2.061,named_pressure rows mark test_section_complex missing preserved two-tap feature output; geometry_reference reports persistent upcomer recirculation and test-section heat sink,component boundaries;cell volume;exchange mass flux;recirculation residence time;pressure residual family;same_QOI_UQ;pressure planes that bracket only the complex;thermal/pressure residual split,NIST_TN2206;SalehiIdemSleiti2017;Delafosse_Tajsoleiman_exchange_sources;MF-04_exchange_cell,LitRev supports cluster/section naming and exchange-cell architecture; no scalar K source matches persistent upcomer recirculation,architecture_supported_but_no_scalar_K_source,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,true,section_effective_or_exchange_cell_residual_candidate,no_coefficient_admission;diagnostic_cluster_or_future_exchange_cell_only,handoff to throughflow_plus_recirc_exchange_cell lane after CFD cell evidence exists
FIT-HEAT-EXCHANGER-REDUCER,CLUSTER-UPPER-COOLER-HX,upper_leg cooling-jacket or heat-exchanger transition,upper_leg,facility_reported_heat_exchanger_reducer_or_cooling_jacket_transition,reducer;expansion;diffuser;custom,through,,,,pressure/thermal maps note cooler spans only partially bracket the cooler and reducers may extend beyond the span,exact location;D_up;D_down;area_ratio;reducer_or_expansion_angle;edge_radius;part_number;pressure planes;velocity basis;cooler/reducer cluster boundaries;straight reference;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;Idelchik_Crane_Miller_needed,"LitRev says UT loop spec reports a heat-exchanger reducer; source is facility geometry only, not a pressure coefficient",facility_reported_geometry_unresolved_in_current_CFD_inventory,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,unknown,unresolved_minor_loss_or_cluster_residual,no_coefficient_admission;source_gap,recover facility part/dimensions and decide whether pressure planes can bracket reducer separately from cooler jacket
FIT-TEE-CORNER-FACILITY,CLUSTER-JUNCTION-OTHER,facility-reported tee/corner fitting; exact loop position unresolved,unknown_or_junction_other_patch_group,facility_reported_tee_or_corner_junction,tee;junction;custom,unknown,,,,LitRev/facility source says a tee/corner fitting exists; current geometry_reference does not locate a discrete tee branch or split,exact location;part_number;branch numbering;tee topology;branch angle;junction_angle;flow_split_ratio;signed path mdot;pressure nodes;velocity basis;pressure basis;recirculation map;same_QOI_UQ,PatinoJaramillo2022Coeff;PatinoJaramillo2022Flow;NIST_TN2206;ZhangWang_Wu_Codde_Schmandt,"low-Re planar tee sources provide reduced-static split/path coefficient forms and recirculation-map precedent, but not circular-pipe TAMU coefficients",source_bounded_architecture_only_no_geometry_match,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,unknown_until_topology_evidence,excluded_until_location_and_topology_known,no_coefficient_admission;not_candidate_for_scalar_tee_K,only open signed-flow junction lane if a discrete modeled branch changes net sign; otherwise route local exchange to MF-04
CLUSTER-JUNCTION-OTHER,CLUSTER-JUNCTION-OTHER,unbracketed grouped junction patches,loop_junction_patches_not_segment_bracketed,thermal_patch_group_and_unresolved_pressure_junction_cluster,junction;cluster;custom,unknown,,,,patchwise heat ledgers include junction_other heat loss that is not bracketed by endpoint temperature segments,which physical fittings are included;pressure planes;component boundaries;thermal/pressure separation;geometry class per fitting;velocity basis;hydrostatic and kinetic corrections;same_QOI_UQ,NIST_TN2206;VDIHeatAtlas2010_for_thermal_resistance_context,"patch role evidence supports a grouped junction thermal residual, but not an isolated pressure-loss coefficient",current_evidence_thermal_group_only_pressure_source_gap,static_or_reduced_static_planes;p_rgh_or_hydro_corrected_static;hydrostatic_correction;kinetic_correction;straight_or_developing_reference;recovery_plane_sweep;same_window_time_basis;same_qoi_mesh_time_UQ,rho_ref;u_ref;velocity_basis(upstream|downstream|smaller_area|branch|main|source_defined);near_zero_U_flag;reverse_area_fraction;reverse_mass_fraction;signed_mdot,no_numeric_K_admitted;label_only_if_diagnostic_or_section_cluster,unknown,excluded_or_junction_group_residual_until_bracketed,no_coefficient_admission;pressure_excluded_until_bracketed,build physical junction map from facility/CAD/mesh patches before pressure source-envelope review
