candidate_id,case_id,split_role,fluid_case_name,segment_name,n_segments,cell_index,ua_W_K,ntu,epsilon,q_cell_W,q_cumulative_W,T_fluid_in_K,T_fluid_out_K,T_air_in_K,T_air_out_K,mdot_kg_s,cp_fluid_J_kg_K,mdot_air_kg_s,cp_air_J_kg_K,T_fluid_solver_guess_out_K
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s00,4,1,0.05877729702,0.07966775585,0.07650872381,12.20519105,12.20519105,515.4153443,515.0199472,299.19,315.7331251,0.02168516985,1423.47,0.000727010147,1014.814244,514.0128273
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s00,4,2,0.05877729702,0.07966775585,0.07650872381,11.24906863,23.45425967,515.0199472,514.6555245,315.7331251,330.9803056,0.02168516985,1423.47,0.000727010147,1014.814244,514.0128273
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s00,4,3,0.05877729702,0.07966775585,0.07650872381,10.36784631,33.82210598,514.6555245,514.3196497,330.9803056,345.0330622,0.02168516985,1423.47,0.000727010147,1014.814244,514.0128273
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s00,4,4,0.05877729702,0.07966775585,0.07650872381,9.555656622,43.3777626,514.3196497,514.0100865,345.0330622,357.9849629,0.02168516985,1423.47,0.000727010147,1014.814244,514.0128273
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s01,4,1,0.03757462693,0.06063088806,0.05879540021,5.685156816,5.685156816,514.0114569,513.8272817,357.9849629,367.1586031,0.02168516985,1423.47,0.0006084958247,1018.45805,513.3397356
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s01,4,2,0.03757462693,0.06063088806,0.05879540021,5.344184928,11.02934174,513.8272817,513.6541525,367.1586031,375.7820468,0.02168516985,1423.47,0.0006084958247,1018.45805,513.3397356
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s01,4,3,0.03757462693,0.06063088806,0.05879540021,5.023663106,16.05300485,513.6541525,513.4914068,375.7820468,383.8882924,0.02168516985,1423.47,0.0006084958247,1018.45805,513.3397356
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s01,4,4,0.03757462693,0.06063088806,0.05879540021,4.72236484,20.77536969,513.4914068,513.338422,383.8882924,391.5083594,0.02168516985,1423.47,0.0006084958247,1018.45805,513.3397356
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s02,4,1,0.03788575861,0.06673468084,0.06451918333,4.462416167,4.462416167,513.3390788,513.1945152,391.5083594,399.3687779,0.02168516985,1423.47,0.0005561454554,1020.789061,512.8163833
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s02,4,2,0.03788575861,0.06673468084,0.06451918333,4.169209644,8.631625811,513.1945152,513.0594503,399.3687779,406.7127215,0.02168516985,1423.47,0.0005561454554,1020.789061,512.8163833
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s02,4,3,0.03788575861,0.06673468084,0.06451918333,3.895268484,12.5268943,513.0594503,512.9332599,406.7127215,413.5741256,0.02168516985,1423.47,0.0005561454554,1020.789061,512.8163833
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s02,4,4,0.03788575861,0.06673468084,0.06451918333,3.639326841,16.16622114,512.9332599,512.815361,413.5741256,419.9846958,0.02168516985,1423.47,0.0005561454554,1020.789061,512.8163833
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s03,4,1,0.06056983363,0.114347823,0.1079560336,5.30846861,5.30846861,512.8158722,512.6439,419.9846958,430.0063814,0.02168516985,1423.47,0.0005178395417,1022.900216,512.2343583
HX_SEGMENTED_UA_NTU_N4,salt_2,train,Salt 2,cooled_incline_hx_active__s03,4,2,0.06056983363,0.114347823,0.1079560336,4.72555332,10.03402193,512.6439,512.4908119,430.0063814,438.9276001,0.02168516985,1423.47,0.0005178395417,1022.900216,512.2343583
