candidate_id,case_id,split_role,coupled_run_status,elapsed_s,root_status,qhx_total_W,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,Tmean_error_K,loop_delta_error_K,coupled_gate,source_path
HX_LUMPED_UA_NTU,salt_2,train,completed,118.4823431,accepted,98.33186754,29.07510075,64.05114667,120.6378318,106.2429698,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_LUMPED_UA_NTU,salt_3,validation,completed,113.257237,accepted,105.8317211,37.48196928,69.10699393,129.2273769,113.9012037,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_LUMPED_UA_NTU,salt_4,holdout,completed,69.97005505,rejected,113.0153194,31.00170803,69.17692987,134.6269338,118.1354525,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N4,salt_2,train,completed,120.4739422,accepted,98.30474374,29.07839196,64.07059781,120.6759906,106.276423,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N4,salt_3,validation,completed,120.1336257,accepted,105.8046265,37.48430154,69.12535776,129.2642249,113.9334273,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N4,salt_4,holdout,completed,73.12852956,rejected,112.9803137,30.99318903,69.17700658,134.6460744,118.1504629,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N8,salt_2,train,completed,125.4219702,accepted,98.30339815,29.07855678,64.07156269,120.6778857,106.2780842,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N8,salt_3,validation,completed,124.5478844,accepted,105.8032829,37.48441677,69.12626853,129.2660548,113.9350273,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N8,salt_4,holdout,completed,75.95570618,rejected,112.9785781,30.99276535,69.17701037,134.6470261,118.1512092,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N16,salt_2,train,completed,136.4293815,accepted,98.30306192,29.0785962,64.07180386,120.6783593,106.2784993,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N16,salt_3,validation,completed,133.1952104,accepted,105.8029471,37.48444601,69.12649601,129.266512,113.935427,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,completed,81.77624985,rejected,112.9781445,30.99266196,69.17701135,134.647264,118.1513958,,,pending_admission_review,Fluid solve_case with AGENT-482 scenario; segmented uses runtime-only adapter
