source_id,case_label,family,png,svg,pdf
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/val_salt_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/val_salt_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/val_salt_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.pdf
val_water_test_1_coarse_mesh_laminar,Water 1,water,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/val_water_test_1_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/val_water_test_1_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/val_water_test_1_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.pdf
val_water_test_2_coarse_mesh_laminar,Water 2,water,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/val_water_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/val_water_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/val_water_test_2_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.pdf
val_water_test_3_coarse_mesh_laminar,Water 3,water,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/val_water_test_3_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/val_water_test_3_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/val_water_test_3_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.pdf
val_water_test_4_coarse_mesh_laminar,Water 4,water,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/val_water_test_4_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/val_water_test_4_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/val_water_test_4_coarse_mesh_laminar_prgh_vs_dynamic_by_leg.pdf
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/viscosity_screening_salt_test_1_jin_coarse_mesh_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/viscosity_screening_salt_test_1_jin_coarse_mesh_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/viscosity_screening_salt_test_1_jin_coarse_mesh_prgh_vs_dynamic_by_leg.pdf
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/viscosity_screening_salt_test_1_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/viscosity_screening_salt_test_1_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/viscosity_screening_salt_test_1_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.pdf
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/viscosity_screening_salt_test_2_jin_coarse_mesh_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/viscosity_screening_salt_test_2_jin_coarse_mesh_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/viscosity_screening_salt_test_2_jin_coarse_mesh_prgh_vs_dynamic_by_leg.pdf
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/viscosity_screening_salt_test_2_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/viscosity_screening_salt_test_2_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/viscosity_screening_salt_test_2_kirst_coarse_mesh_prgh_vs_dynamic_by_leg.pdf
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/png/viscosity_screening_salt_test_3_jin_coarse_mesh_prgh_vs_dynamic_by_leg.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/svg/viscosity_screening_salt_test_3_jin_coarse_mesh_prgh_vs_dynamic_by_leg.svg,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-23_ethan_prgh_vs_dynamic_profiles/figures/pdf/viscosity_screening_salt_test_3_jin_coarse_mesh_prgh_vs_dynamic_by_leg.pdf
