source_id,salt_label,patch_group,patch_names,bc_type,bc_sign_convention,wallHeatFlux_integral_W,span,T_bulk_inlet_K,T_bulk_outlet_K,T_bulk_span_K,mdot_kg_s,enthalpy_change_W,residual_W,residual_fraction,radiation_present,note
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",rcExternalTemperature,removed_from_fluid,-12.3679,cooling_branch,,,,0.013198,,,,False,wallHeatFlux from t=7915s
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",rcExternalTemperature,removed_from_fluid,-23.1173,downcomer,,,,0.013198,,,,False,wallHeatFlux from t=7915s
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",rcExternalTemperature,removed_from_fluid,-6.6681,lower_leg,,,444.5526,0.013198,,,,False,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",rcExternalTemperature,removed_from_fluid,-20.0805,upcomer,,,456.7385,0.013198,,,,False,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooler,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",externalTemperature,removed_from_fluid,-136.3507,cooling_branch,,,,0.013198,,,,False,wallHeatFlux from t=7915s
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,heater,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",rcExternalTemperature,imposed_into_fluid,243.5191,lower_leg,,,444.5526,0.013198,,,,False,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_other,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start","externalTemperature, rcExternalTemperature, zeroGradient",removed_from_fluid,-39.1283,junction,,,,0.013198,,,,False,"wallHeatFlux from t=7915s; junction patches include stubs, extensions, and corner volumes"
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section,pipeleg_left_04_test_section,rcExternalTemperature,imposed_into_fluid,-5.6798,upcomer,,,456.7385,0.013198,,,,False,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",rcExternalTemperature,removed_from_fluid,-13.5707,cooling_branch,,,,0.01499,,,,False,wallHeatFlux from t=7618s
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",rcExternalTemperature,removed_from_fluid,-25.3479,downcomer,,,,0.01499,,,,False,wallHeatFlux from t=7618s
