overlay_row,sensor,kind,acceptance_class,overlay_state,coordinate_claim_level,placement_class,one_d_map_state,one_d_segment_or_state,one_d_fraction_or_marker,projection_gate,finite_prediction_gate,score_target_use,runtime_use,fit_use,model_selection_use,claim_priority,figure_label,source_paths
S7-OVERLAY-01,TP1,TP,bounded,draw_bounded_segment_marker,not_exact_measurement,provisional_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,top_horizontal_exit,1,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP1: bounded on top_horizontal_exit,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-02,TP2,TP,mapped,draw_exact_projected_anchor,projected_from_native_cfd_junction_evidence,projected_1d_validation_target,mapped_to_projected_right_downcomer_bottom_horizontal_junction,right_downcomer_bottom_horizontal_junction,junction,restore_candidate_native_cfd_near_right_downcomer_bottom_horizontal_junction,fail,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP2: mapped on right_downcomer_bottom_horizontal_junction,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_sensor_level_evidence.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-03,TP3,TP,bounded,draw_bounded_segment_marker,not_exact_measurement,provisional_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,left_lower_vertical,0,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP3: bounded on left_lower_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-04,TP4,TP,bounded,draw_bounded_segment_marker,not_exact_measurement,provisional_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,left_lower_vertical,1,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP4: bounded on left_lower_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-05,TP5,TP,bounded,draw_bounded_segment_marker,not_exact_measurement,provisional_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,test_section,1,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP5: bounded on test_section,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-06,TP6,TP,bounded,draw_bounded_segment_marker,not_exact_measurement,provisional_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,left_upper_vertical,1,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TP6: bounded on left_upper_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-07,TW1,TW,bounded,draw_bounded_segment_marker,mixed_provenance_not_exact,source_backed_directionally,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.25,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TW1: bounded on right_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-08,TW2,TW,bounded,draw_bounded_segment_marker,mixed_provenance_not_exact,source_backed_directionally,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.5,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TW2: bounded on right_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-09,TW3,TW,bounded,draw_bounded_segment_marker,mixed_provenance_not_exact,source_backed_directionally,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.75,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TW3: bounded on right_vertical,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
S7-OVERLAY-10,TW4,TW,bounded,draw_bounded_segment_marker,not_exact_measurement,approximate_working_placement,mapped_to_1d_path_with_bounded_coordinate_claim,heated_incline,0.25,exact_on_current_fluid_path,pass,post_solve_score_target_only,forbidden_not_runtime_input,forbidden_never_fit,forbidden_no_model_selection,secondary_to_energy_and_branch_heat_parity,TW4: bounded on heated_incline,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv;work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv;work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/one_d_path_position_map.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/sensor_coordinate_ledger.csv
