case,source_id,span,gross_prgh_pa,distributed_friction_pa,density_gradient_buoyancy_pa,station_order_buoyancy_pa,density_gradient_buoyancy_basis,development_loss_pa,minor_loss_upper_bound_pa,residual_pa,fit_use_status,fit_eligible,quality_flags,admission_note
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,2.3763371934790376,7.594737594921601,-5.218400401442564,5.218400401442564,flow_projected_gh_drho_dxi_times_L,1.282016419920414,0.49951598888872795,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,5.705173118703581,7.188434048086719,-1.483260929383138,1.483260929383138,flow_projected_gh_drho_dxi_times_L,1.385941057806892,0.764693936138507,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg,-2.0528561531467027,1.5864238159062247,0.46643233724047767,0.46643233724047767,flow_projected_gh_drho_dxi_times_L,0.7655269557534745,0.0,2.7755575615628914e-16,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,0.6207549785271755,1.3666260023189991,-0.7458710237918236,0.7458710237918236,flow_projected_gh_drho_dxi_times_L,0.0,0.0,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg,-2.56290979249356,1.1778655416679582,1.385044250825602,1.385044250825602,flow_projected_gh_drho_dxi_times_L,0.0,0.397984716988182,-2.220446049250313e-16,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg,32.56556038669951,6.708462261252379,-39.27402264795189,-39.27402264795189,flow_projected_gh_drho_dxi_times_L,1.30088784272575,0.5996790416038161,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,2.070572236740728,7.507438844419539,-5.4368666076788115,5.4368666076788115,flow_projected_gh_drho_dxi_times_L,1.4202603308614044,0.656791856335483,-8.881784197001252e-16,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,7.847788966139236,8.919716557445069,-1.0719275913058328,1.0719275913058328,flow_projected_gh_drho_dxi_times_L,1.616219651946336,0.8372878613242898,4.440892098500626e-16,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg,-2.2110963311923637,1.7911798267548618,0.41991650443750195,0.41991650443750195,flow_projected_gh_drho_dxi_times_L,0.8510894868542376,0.0,0.0,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,0.375476132678477,1.0801572872689937,-0.7046811545905168,0.7046811545905168,flow_projected_gh_drho_dxi_times_L,0.0,0.0,-1.1102230246251565e-16,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg,-2.31926707524479,0.9935879703673519,1.3256791048774381,1.3256791048774381,flow_projected_gh_drho_dxi_times_L,0.0,0.5025792250818311,-2.220446049250313e-16,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg,31.30502352585806,6.716638951731573,-38.021662477589636,-38.021662477589636,flow_projected_gh_drho_dxi_times_L,1.4514521262637978,0.7097390466380116,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,2.458661426651202,7.696880161078721,-5.2382187344275195,5.2382187344275195,flow_projected_gh_drho_dxi_times_L,1.5827901558356592,0.8638360651323387,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,9.77374491748144,10.513645224087313,-0.739900306605872,0.739900306605872,flow_projected_gh_drho_dxi_times_L,1.8552346025050652,0.8743618005933114,-2.220446049250313e-16,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg,-2.6035558783185753,2.1895176546978283,0.4140382236207468,0.4140382236207468,flow_projected_gh_drho_dxi_times_L,0.9513494159679482,0.0,1.1102230246251565e-16,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,0.26296533077521467,0.8868644229824224,-0.6238990922072077,0.6238990922072077,flow_projected_gh_drho_dxi_times_L,0.0,0.0,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg,-2.3370153900838595,0.8725413540292285,1.464474036054631,1.464474036054631,flow_projected_gh_drho_dxi_times_L,0.0,0.7016926242834748,0.0,not_fit_recirculation,False,recirculation_invalid_single_f;coarse_no_gci,mainline_salt_jin
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg,29.68668412088371,6.761584463927169,-36.44826858481088,-36.44826858481088,flow_projected_gh_drho_dxi_times_L,1.632051335209415,0.9034003411668073,0.0,fit_target,True,coarse_no_gci,mainline_salt_jin
