source_id,path,exists,role
ag392_hx_primary,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,true,read_only_input
ag392_hx_violations,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/violations.csv,true,read_only_input
ag391_cooler_summary,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,true,read_only_input
ag391_test_section,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/test_section_boundary_form_bakeoff/test_section_model_result_ledger.csv,true,read_only_input
ag392_source_sink,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,true,read_only_input
ag392_external_decisions,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/admission_decision_table.csv,true,read_only_input
ag319_internal_nu_gate,work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv,true,read_only_input
ag319_segment_summary,work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/segment_thermal_fit_summary.csv,true,read_only_input
ag319_summary,work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/summary.json,true,read_only_input
ag330_upcomer_admissibility,work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md,true,read_only_input
