row_id,row_family,source_agent,source_artifact,case_id,split_role,model_form,mode_or_role,admission_class,forward_v1_use,runtime_inputs_allowed,runtime_inputs_forbidden,fit_source,score_source,key_metric_1,key_metric_2,key_metric_3,blocker,next_action,source_path
AG392_HX1_F0_current_fluid_sources_salt_2,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_2,train,F0_current_fluid_sources::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,train score row; target cooler used for scoring only,qhx_error_W=0,Tmean_error_K=33.7233346222,mdot_error_kg_s=0.007445,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG392_HX1_F1_heater_only_salt_2,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_2,train,F1_heater_only::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,train score row; target cooler used for scoring only,qhx_error_W=0,Tmean_error_K=2.32187151784,mdot_error_kg_s=0.0046325,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG392_HX1_F0_current_fluid_sources_salt_3,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_3,validation,F0_current_fluid_sources::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,validation score row; target cooler used for scoring only,qhx_error_W=-12.9158133646,Tmean_error_K=44.0800231687,mdot_error_kg_s=0.008155,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG392_HX1_F1_heater_only_salt_3,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_3,validation,F1_heater_only::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,validation score row; target cooler used for scoring only,qhx_error_W=-2.34147503545,Tmean_error_K=6.53391284585,mdot_error_kg_s=0.005655,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG392_HX1_F0_current_fluid_sources_salt_4,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_4,holdout,F0_current_fluid_sources::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,holdout score row; target cooler used for scoring only,qhx_error_W=-31.3759506069,Tmean_error_K=56.8947608768,mdot_error_kg_s=0.009895,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG392_HX1_F1_heater_only_salt_4,final_predictive_hx_closure,AGENT-392,predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv,salt_4,holdout,F1_heater_only::HX1_global_qhx_multiplier_on_fluid_airside,fast_scan_bracketed_pressure_root,predictive_candidate_pending_final_gate,candidate_scorecard_input_after_hydraulic_cfd_pp_runtime_audit_gates,setup-only HX scalar fitted on declared training row; model-predicted cooler duty,held-out CFD cooler duty; realized wallHeatFlux; validation or holdout temperatures at runtime,Salt2 train row only under declared Salt2/Salt3/Salt4 split,holdout score row; target cooler used for scoring only,qhx_error_W=-17.5108674223,Tmean_error_K=20.5868541659,mdot_error_kg_s=0.007395,"final forward-v1 still waits on hydraulic, cfd-pp, PM5/upcomer, and admission gates",use as candidate only in next final-scorecard gate package; do not label final,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
AG391_COOLER_SETUP_current_fluid_airside_hx_fixed_mdot_all_non_salt1,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,all_non_salt1,all_non_salt1,current_fluid_airside_hx_fixed_mdot,setup_model_or_current_fluid_diagnostic,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,setup_model_or_current_fluid_diagnostic,all_non_salt1,rmse_W=102.885598635,mae_W=102.349527636,mean_error_W=-102.349527636,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_current_fluid_airside_hx_fixed_mdot_holdout,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,holdout,holdout,current_fluid_airside_hx_fixed_mdot,setup_model_or_current_fluid_diagnostic,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,setup_model_or_current_fluid_diagnostic,holdout,rmse_W=115.761691818,mae_W=115.761691818,mean_error_W=-115.761691818,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_current_fluid_airside_hx_fixed_mdot_train,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,train,train,current_fluid_airside_hx_fixed_mdot,setup_model_or_current_fluid_diagnostic,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,setup_model_or_current_fluid_diagnostic,train,rmse_W=90.1556146671,mae_W=90.1556146671,mean_error_W=-90.1556146671,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_current_fluid_airside_hx_fixed_mdot_validation,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,validation,validation,current_fluid_airside_hx_fixed_mdot,setup_model_or_current_fluid_diagnostic,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,setup_model_or_current_fluid_diagnostic,validation,rmse_W=101.131276422,mae_W=101.131276422,mean_error_W=-101.131276422,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_salt2_fit_constant_UA_bulk_drive_all_non_salt1,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,all_non_salt1,all_non_salt1,salt2_fit_constant_UA_bulk_drive,fit_on_salt2_score_salt3_salt4_salt1_excluded,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,fit_on_salt2_score_salt3_salt4_salt1_excluded,all_non_salt1,rmse_W=4.63756559107,mae_W=3.45724087223,mean_error_W=-3.45724087223,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_salt2_fit_constant_UA_bulk_drive_holdout,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,holdout,holdout,salt2_fit_constant_UA_bulk_drive,fit_on_salt2_score_salt3_salt4_salt1_excluded,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,fit_on_salt2_score_salt3_salt4_salt1_excluded,holdout,rmse_W=7.50261861283,mae_W=7.50261861283,mean_error_W=-7.50261861283,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_salt2_fit_constant_UA_bulk_drive_train,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,train,train,salt2_fit_constant_UA_bulk_drive,fit_on_salt2_score_salt3_salt4_salt1_excluded,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,fit_on_salt2_score_salt3_salt4_salt1_excluded,train,rmse_W=0,mae_W=0,mean_error_W=0,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
AG391_COOLER_SETUP_salt2_fit_constant_UA_bulk_drive_validation,final_predictive_hx_closure,AGENT-391,setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,validation,validation,salt2_fit_constant_UA_bulk_drive,fit_on_salt2_score_salt3_salt4_salt1_excluded,setup_legal_candidate_pending_final_gate,candidate_comparison_row_for_hx_lane_selection,setup/current Fluid model inputs; Salt2-only scalar fit for salt2_fit_constant_UA_bulk_drive,realized CFD cooler duty at predictive runtime; validation or holdout refit,fit_on_salt2_score_salt3_salt4_salt1_excluded,validation,rmse_W=2.86910400386,mae_W=2.86910400386,mean_error_W=-2.86910400386,candidate screen only; final forward-v1 gates not complete,compare against AGENT-392 HX1 and select one setup-legal lane,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv
INTERNAL_NU_ZERO_FIT_downcomer,fitted_internal_nu,AGENT-319/AGENT-330,thermal_admission_internal_nu_final_gate + upcomer_recirculation_internal_nu_admissibility,downcomer,not_applicable_zero_fit_set,internal_Nu_fit,blocked,blocked_empty_fit_set,no_internal_nu_fit_use_baseline_or_literature_only,baseline/literature/default internal Nu only,fitted internal Nu; Nu absorbing heater/cooler/passive/radiation/recirculation residuals,fit_eligible_qoi_count=0,validation_only_qoi_count=0; blocked_qoi_count=4,segment_decision=blocked,fit_allowed=no,current_fit_admissible_rows=0,blocked_downcomer_policy;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;coarse_status_thermally_blocked_segment_right_leg;medium_status_thermally_blocked_segment_right_leg,"reopen only after matched-plane thermal/vector extraction, onset anchors, and mesh/time uncertainty",work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/segment_thermal_fit_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md
INTERNAL_NU_ZERO_FIT_lower_leg,fitted_internal_nu,AGENT-319/AGENT-330,thermal_admission_internal_nu_final_gate + upcomer_recirculation_internal_nu_admissibility,lower_leg,not_applicable_zero_fit_set,internal_Nu_fit,mixed_validation_only_and_blocked,blocked_empty_fit_set,no_internal_nu_fit_use_baseline_or_literature_only,baseline/literature/default internal Nu only,fitted internal Nu; Nu absorbing heater/cooler/passive/radiation/recirculation residuals,fit_eligible_qoi_count=0,validation_only_qoi_count=5; blocked_qoi_count=1,segment_decision=mixed_validation_only_and_blocked,fit_allowed=no,current_fit_admissible_rows=0,repaired_q_sign_label_conflict;coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;missing_or_nonfinite_coarse_medium_or_fine_value;coarse_nu_direct_not_admitted;medium_nu_direct_not_admitted,"reopen only after matched-plane thermal/vector extraction, onset anchors, and mesh/time uncertainty",work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/segment_thermal_fit_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md
INTERNAL_NU_ZERO_FIT_upcomer,fitted_internal_nu,AGENT-319/AGENT-330,thermal_admission_internal_nu_final_gate + upcomer_recirculation_internal_nu_admissibility,upcomer,not_applicable_zero_fit_set,internal_Nu_fit,validation_only,blocked_empty_fit_set,no_internal_nu_fit_use_baseline_or_literature_only,baseline/literature/default internal Nu only,fitted internal Nu; Nu absorbing heater/cooler/passive/radiation/recirculation residuals,fit_eligible_qoi_count=0,validation_only_qoi_count=6; blocked_qoi_count=0,segment_decision=validation_only,fit_allowed=no,current_fit_admissible_rows=0,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;coarse_sign_review_required,"reopen only after matched-plane thermal/vector extraction, onset anchors, and mesh/time uncertainty",work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/segment_thermal_fit_summary.csv;work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md
WALLHEATFLUX_REPLAY_salt_2_lower_leg_heater,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_2,diagnostic_replay,realized_CFD_wallHeatFlux_replay,lower_leg::heater,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=265.7,realized_wallHeatFlux_W=243.51909758,realized_minus_imposed_W=-22.18090242,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
