candidate_family,numerical_or_diagnostic_signal,predictive_runtime_clean,source_property_release_ready,uq_or_mesh_ready,protected_split_ready,freeze_ready,next_action,decision
M0_setup_only_baseline,minimum comparator required but predictions missing,true,false,false,false,false,Use existing M0 scorecard row to generate setup-only predictions or publish complete missing-prediction ledger.,blocked_missing_predictions_and_release
M3_segment_only_fluid_walls,best current legacy numeric comparator among M1-M3 with mean group RMSE 16.94570103203358 K,true,false,false,false,false,Use as baseline comparator only after M0 exists and source/property release is resolved.,diagnostic_comparator_not_frozen
D4_M3_segment_offsets_min2_train,best empirical transfer diagnostic with RMSE 7.940403491512912 K,true_as_math_but_residual_trained,false,false,false,false,Convert local segment signal into source-bounded passive wall/test-section or axial-mixing candidate before any admission.,diagnostic_only
M2_passive_wall_test_section_source_bounded_repair,cold-bias residual-owner signal; passive-H2 supports development,false_until_operator_release,false,false,false,false,Run source-bounded passive wall/test-section release gate after strict source-property evidence recovery.,blocked_release_basis
PASSIVE-H2-CAND001,single named passive-H2 candidate; setup-basis source families 5/5 ready for preflight,true,false,false,false,false,Do train-only repair preflight only after numeric q-loss/source-property release is allowed; do not freeze now.,predeclared_but_not_freeze_ready
S13_upcomer_exchange_cell,exact pressure/Qwall and medium/fine labels exist; Q_wall_W spread low but other QOIs high,true,false,false,false,false,Resolve same-label coarse/GCI bridge or terminally route S13 as diagnostic/open-CV evidence only.,blocked_mesh_gci_and_release
MF01_ordinary_F6,ordinary pressure model valuable only for nonrecirculating or low-recirculation anchors,true,false,false,false,false,Wait for CAND001 terminal endpoint readiness and ordinary RAF/RMF check; keep lower-right recirculating rows diagnostic.,gated_by_terminal_pressure_evidence
MF02_section_effective_pressure_residual,diagnostic pressure-mdot coupling may explain mdot and temperature-level errors,true,false,false,false,false,Execute existing MF02 diagnostic row without admitting component K or hidden multipliers.,diagnostic_pressure_coupling
MF12_bulk_to_TP_projection,D2 shows projection matters; source-bounded successor families named,true,false,false,false,false,Recover signed source/profile projection basis and same-QOI projection UQ before protected scoring.,blocked_source_projection_uq
M6_final_frozen_candidate,no candidate exists yet,true,false,false,false,false,Keep S6 closed until exactly one upstream candidate passes candidate/source/split/UQ gates.,closed_no_freeze
