gap_row,gap_family,current_status,evidence,required_to_unblock,next_action,figure_state,source_paths
S9-GAP-01,terminal_or_nonrecirculating_anchor,blocked,5/5 source families cannot provide full exchange QOIs now.,terminal success or formal terminal-source failure followed by a separately claimed harvest/sampler row,monitor terminal jobs; do not launch duplicate sampler from S9,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/near_onset_gap_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/terminal_source_family_matrix.csv
S9-GAP-02,exchange_qoi_coverage,blocked,12 required QOI rows require terminal success; 7 require harvest or sampler.,"finite same-window V_recirc, mdot_exchange, tau_recirc, wall/core thermal state, pressure residual, and source/sink residual rows",claim source/sampler execution only after terminal/source gate permits it,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/near_onset_gap_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/required_exchange_qoi_coverage.csv
S9-GAP-03,sampler_inputs,blocked,12 surface/interface/source-ledger blocker rows remain.,"cell VTK, exchange-interface VTK, wall/core surfaces, and source/sink ledgers with exact geometry basis",use input-generation handoff; do not fit or score exchange rows,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/near_onset_gap_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/surface_and_ledger_blockers.csv
S9-UQ-01,same_qoi_UQ,blocked_missing_same_qoi_UQ,no exchange-cell admission without same-QOI mesh/time uncertainty,Pair mesh/time uncertainty with the exact exchange-state QOIs before Phase 4B.,Pair mesh/time uncertainty with the exact exchange-state QOIs before Phase 4B.,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
S9-UQ-02,pressure_basis,missing_or_partial_no_same_window_pressure_residual,pressure residual can be attributed only after same-window pressure basis and straight-loss subtraction,Keep current pressure evidence in diagnostic/source-envelope lane.,Keep current pressure evidence in diagnostic/source-envelope lane.,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv
S9-UQ-03,thermal_energy_residual,available_existing_diagnostic,thermal residual can support attribution but not coefficient fitting,Use as thesis evidence for why exchange state is needed.,Use as thesis evidence for why exchange state is needed.,diagnostic_only,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
S9-UQ-04,mesh_time_status,blocked_or_terminal_gated,high_heat_terminal_gated=blocked_missing_recirc_fields; latest_corrected_Q_live_continuation=blocked_missing_recirc_fields; pm10_pressure_only_target=blocked_missing_recirc_fields; two_tap_endpoint_recirc=diagnostic_only; upcomer_matched_plane_diagnostic_proxy=diagnostic_only,Wait for terminal/admission rows or claim a narrow sampler row after this preflight.,Wait for terminal/admission rows or claim a narrow sampler row after this preflight.,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
S9-UQ-05,V_recirc_mdot_exchange_tau_recirc,blocked,time_window=blocked_missing_neighbor_window; mesh_gci=blocked; source=pending_phase_c_source_review,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
S9-UQ-06,terminal_source_family_exchange_QOIs,blocked,time_window=blocked_missing_neighbor_window; mesh_gci=blocked; source=pending_phase_c_source_review,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
S9-UQ-07,upcomer_exchange_heat_loss_fields,blocked,time_window=blocked_missing_neighbor_window; mesh_gci=blocked; source=pending_phase_c_source_review,Claim compute-node sampler implementation/execution row for required field groups; preserve no-admission/no-score guardrail,Claim compute-node sampler implementation/execution row for required field groups; preserve no-admission/no-score guardrail,blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/same_window_uq_requirements.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
