path,category,kind,purpose,typical_inputs,typical_outputs,safe_example,when_to_use,when_not_to_use,safety
tools/AGENTS.override.md,root workflow helper,markdown,Tools Override,task-specific arguments; run with --help or read the source first,script-defined outputs,"sed -n '1,160p' tools/AGENTS.override.md",Use only when the task scope names this helper or its workflow.,Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/README.md,root workflow helper,markdown,README,task-specific arguments; run with --help or read the source first,script-defined outputs,"sed -n '1,160p' tools/README.md",Use only when the task scope names this helper or its workflow.,Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/README.md,agent coordination and linting,markdown,README,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,"sed -n '1,160p' tools/agent/README.md","Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/__init__.py,agent coordination and linting,python,Agent coordination helpers for the ethan_runs workspace.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/__init__.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/background_compute_helper.py,agent coordination and linting,python,"Recommend sbatch, srun, or tmux+srun for repo compute work.",".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/background_compute_helper.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/board_dashboard.py,agent coordination and linting,python,Print a compact board/dashboard summary for coordinators.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/board_dashboard.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/case_schema_lint.py,agent coordination and linting,python,Check whether a package appears to carry the CFD-to-1D postprocessing schema.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/case_schema_lint.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/common.py,agent coordination and linting,python,Shared helpers for repo-local agent coordination tools.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/common.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/finish_task.py,agent coordination and linting,python,Validate that an agent task has a complete handoff surface.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/finish_task.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/new_task.py,agent coordination and linting,python,Create dry-run or written scaffolding for a new board task.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/new_task.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/preflight_task.py,agent coordination and linting,python,Read-only preflight for an assigned board task.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/preflight_task.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/runtime_input_lint.py,agent coordination and linting,python,Heuristic lint for forbidden predictive runtime inputs.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/runtime_input_lint.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/source_property_gate.py,agent coordination and linting,python,Audit source/property labels on scorecard-like fit/admission rows.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/source_property_gate.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/split_policy_lint.py,agent coordination and linting,python,Flag stale final-predictive split language in docs and tables.,".agent/BOARD.md, status/journal/import docs, target package paths",preflight/finish/lint/dashboard output; may validate required handoff docs,python3.11 tools/agent/split_policy_lint.py --help,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,normally safe to inspect; run only after checking arguments and task scope
tools/agent/test_agent_tools.py,agent coordination and linting,python,agent tools,".agent/BOARD.md, status/journal/import docs, target package paths",test pass/fail result; may create temporary files,python3.11 -m unittest tools.agent.test_agent_tools,"Use during task startup, guardrail checks, or closeout.",Do not use outside an assigned board row or without reading its arguments.,local/lightweight test; usually read-only except temporary outputs
tools/analyze/assess_time_convergence.py,analysis and package builders,python,"Assess statistical steadiness (""convergence"") of TAMU loop CFD monitors. WHY THIS EXISTS (action item #2 from the 2026-06-30 inspection) --------------------------------------------------------------- The cases have N...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/assess_time_convergence.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_conservative_thermal_ledger_residual_owner_contract.py,analysis and package builders,python,Build the 1D conservative thermal ledger residual-owner contract.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_conservative_thermal_ledger_residual_owner_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_model_hierarchy_ablation_ladder_packet.py,analysis and package builders,python,Build a thesis-facing 1D model hierarchy and ablation ladder packet.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_model_hierarchy_ablation_ladder_packet.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_radiation_sensitivity.py,analysis and package builders,python,Build the repo-local 1D radiation sensitivity/capability package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_radiation_sensitivity.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_recirculation_switch_dry_contract.py,analysis and package builders,python,Build a dry three-lane recirculation model-form switch contract.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_recirculation_switch_dry_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_regime_map_nondimensional_closure_eligibility.py,analysis and package builders,python,Build nondimensional regime map and fail-closed closure eligibility package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_regime_map_nondimensional_closure_eligibility.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_sensor_projection_operator_tp_tw_wall_bulk.py,analysis and package builders,python,Build a sensor projection-operator contract for TP/TW observations.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_sensor_projection_operator_tp_tw_wall_bulk.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_setup_only_bc_uq_propagation.py,analysis and package builders,python,Build setup-only boundary-condition UQ propagation contract for the 1D model.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_setup_only_bc_uq_propagation.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_thermal_pressure_root_coupling_stability_audit.py,analysis and package builders,python,Build a dry stability audit for coupled 1D thermal/pressure root solving.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_thermal_pressure_root_coupling_stability_audit.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_train_only_setup_uq_smoke_execution.py,analysis and package builders,python,Execute a bounded train-only setup-UQ smoke for the 1D Fluid model.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_train_only_setup_uq_smoke_execution.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_1d_train_only_setup_uq_smoke_runbook.py,analysis and package builders,python,Build the train-only setup-UQ smoke runbook for the 1D model.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_1d_train_only_setup_uq_smoke_runbook.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
