case_id,split_role,source_segment_id,physical_role,setup_patch_or_group,setup_value_W,setup_value_basis,provenance_class_after_recovery,runtime_allowed_now,source_path,line_evidence
salt_1,train,lower_leg,heater,pipeleg_lower_04_05_06_straight_total,232.30000000000004,sum_of_three_setup_Q_values,setup_known_candidate,false,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,Q constant 77.43333333333334 on each powered lower-leg segment
salt_1,train,cooling_branch,cooler,pipeleg_upper_05_cooler,-103.16215407994024,setup_Q_loss_comment_and_boundary_value,setup_known_candidate,false,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,cooler Q_loss 103.16 W with Q constant -103.16215407994024
salt_1,train,upcomer,test_section,pipeleg_left_04_test_section,37.0,setup_powered_segment_Q,setup_known_candidate,false,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,powered Q=37.0 W layer 0
salt_2,train,lower_leg,heater,pipeleg_lower_04_05_06_straight_total,265.7,sum_of_three_setup_Q_values,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,Q constant 88.56666666666666 on each powered lower-leg segment
salt_2,train,cooling_branch,cooler,pipeleg_upper_05_cooler,-104.07353581998868,setup_Q_loss_comment_and_boundary_value,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,cooler Q_loss 104.07 W with Q constant -104.07353581998868
salt_2,train,upcomer,test_section,pipeleg_left_04_test_section,37.0,setup_powered_segment_Q,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,powered Q=37.0 W layer 0
salt_3,validation,lower_leg,heater,pipeleg_lower_04_05_06_straight_total,297.5,sum_of_three_setup_Q_values,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,Q constant 99.16666666666667 on each powered lower-leg segment
salt_3,validation,cooling_branch,cooler,pipeleg_upper_05_cooler,-114.57817713779176,setup_Q_loss_comment_and_boundary_value,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,cooler Q_loss 114.58 W with Q constant -114.57817713779176
salt_3,validation,upcomer,test_section,pipeleg_left_04_test_section,37.0,setup_powered_segment_Q,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,powered Q=37.0 W layer 0
salt_4,holdout,lower_leg,heater,pipeleg_lower_04_05_06_straight_total,337.59999999999997,sum_of_three_setup_Q_values,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,Q constant 112.53333333333333 on each powered lower-leg segment
salt_4,holdout,cooling_branch,cooler,pipeleg_upper_05_cooler,-128.1485764924187,setup_Q_loss_comment_and_boundary_value,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,cooler Q_loss 128.15 W with Q constant -128.1485764924187
salt_4,holdout,upcomer,test_section,pipeleg_left_04_test_section,37.0,setup_powered_segment_Q,setup_known_candidate,false,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,powered Q=37.0 W layer 0
