case_id,source_id,path_id,path_family,one_d_segment,fluid_parent_segment,model_source_W,model_cooler_loss_W,model_external_loss_W,model_total_loss_W,model_net_to_fluid_W,cfd_imposed_source_W,cfd_imposed_loss_W,cfd_imposed_net_to_fluid_W,cfd_realized_source_W,cfd_realized_loss_W,cfd_realized_net_to_fluid_W,model_minus_cfd_realized_net_W,model_minus_cfd_imposed_net_W,realized_residual_fraction_of_heater,imposed_residual_fraction_of_heater,sign_match_vs_realized,sign_match_vs_imposed,location_match_status,magnitude_status_vs_realized,evidence_class,admissibility_status,source_paths,notes
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,lower_leg,heated_incline,236.850956221,0.0,0.0,0.0,236.850956221,265.7,0.0,265.7,243.51909758,6.668141359,236.850956221,0.0,-28.849043779,0.0,-0.108577508,match,match,same_segment_heat_path_present,within_screen_threshold,diagnostic_realized_wallflux,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q diagnostic from realized CFD wallHeatFlux; not a predictive runtime input.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,upcomer,left_upper_vertical,0.0,0.0,25.760341231,25.760341231,-25.760341231,37.0,0.0,37.0,0.0,25.760341231,-25.760341231,-0.0,-62.760341231,-0.0,-0.236207532,match,opposite_sign,same_segment_heat_path_present,within_screen_threshold,diagnostic_realized_wallflux,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q diagnostic from realized CFD wallHeatFlux; not a predictive runtime input.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,cooling_branch,cooled_incline_hx_active,0.0,148.718686808,0.0,148.718686808,-148.718686808,0.0,136.350739906,-136.350739906,0.0,148.718686808,-148.718686808,0.0,-12.367946902,0.0,-0.046548539,match,match,same_segment_heat_path_present,within_screen_threshold,diagnostic_realized_wallflux,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q diagnostic from realized CFD wallHeatFlux; not a predictive runtime input.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,downcomer,right_vertical,0.0,0.0,23.117313813,23.117313813,-23.117313813,0.0,0.0,0.0,0.0,23.117313813,-23.117313813,0.0,-23.117313813,0.0,-0.087005321,match,zero_mismatch,same_segment_heat_path_present,within_screen_threshold,diagnostic_realized_wallflux,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q diagnostic from realized CFD wallHeatFlux; not a predictive runtime input.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,junction,top_horizontal_exit,0.0,0.0,39.128349537,39.128349537,-39.128349537,0.0,0.0,0.0,0.0,39.128349537,-39.128349537,0.0,-39.128349537,0.0,-0.147265147,match,zero_mismatch,same_segment_heat_path_present,within_screen_threshold,diagnostic_realized_wallflux,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q diagnostic from realized CFD wallHeatFlux; not a predictive runtime input.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,lower_leg,heated_incline,265.7,0.0,0.0,0.0,265.7,265.7,0.0,265.7,243.51909758,6.668141359,236.850956221,28.849043779,0.0,0.108577508,0.0,match,match,same_segment_heat_path_present,mismatched_magnitude,fixed_mdot_setup_diagnostic,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q replay using imposed setup heat terms; exposes setup-vs-realized discrepancy.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,upcomer,left_upper_vertical,37.0,0.0,0.0,0.0,37.0,37.0,0.0,37.0,0.0,25.760341231,-25.760341231,62.760341231,0.0,0.236207532,0.0,opposite_sign,match,same_segment_heat_path_present,mismatched_magnitude,fixed_mdot_setup_diagnostic,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q replay using imposed setup heat terms; exposes setup-vs-realized discrepancy.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,cooling_branch,cooled_incline_hx_active,0.0,136.350739906,0.0,136.350739906,-136.350739906,0.0,136.350739906,-136.350739906,0.0,148.718686808,-148.718686808,12.367946902,0.0,0.046548539,0.0,match,match,same_segment_heat_path_present,within_screen_threshold,fixed_mdot_setup_diagnostic,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q replay using imposed setup heat terms; exposes setup-vs-realized discrepancy.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,downcomer,right_vertical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.117313813,-23.117313813,23.117313813,0.0,0.087005321,0.0,zero_mismatch,match,model_missing_heat_path,mismatched_magnitude,fixed_mdot_setup_diagnostic,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q replay using imposed setup heat terms; exposes setup-vs-realized discrepancy.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,junction,top_horizontal_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.128349537,-39.128349537,39.128349537,0.0,0.147265147,0.0,zero_mismatch,match,model_missing_heat_path,mismatched_magnitude,fixed_mdot_setup_diagnostic,diagnostic_only_not_predictive,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,Fixed-Q replay using imposed setup heat terms; exposes setup-vs-realized discrepancy.
