case_id,source_id,path_id,path_family,heater_power_W,model_net_to_fluid_W,cfd_imposed_net_to_fluid_W,cfd_realized_net_to_fluid_W,model_minus_cfd_realized_net_W,model_minus_cfd_imposed_net_W,abs_realized_residual_fraction_of_heater,largest_segment_residual,segments_with_sign_match_vs_realized,segments_total,study_status,thesis_use_status,notes
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,265.7,0.126264832,166.349260094,0.126264832,-0.0,-166.222995262,0.0,upcomer:-3.552713678800501e-15,5,5,diagnostic_realized_wallflux_replay,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,265.7,166.349260094,166.349260094,0.126264832,166.222995262,0.0,0.625604047,upcomer:62.760341231,2,5,diagnostic_setup_parity_replay,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N0_current_fluid_rad_off,radiation_off_sensitivity,265.7,71.307177263,166.349260094,0.126264832,71.180912431,-95.042082831,0.267899558,cooling_branch:94.96323257456591,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,radiation_off_sensitivity,265.7,36.636519243,166.349260094,0.126264832,36.510254411,-129.712740851,0.137411571,junction:38.30305390308562,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,radiation_off_sensitivity,265.7,0.004180211,166.349260094,0.126264832,-0.122084621,-166.345079883,0.000459483,upcomer:24.756178540983107,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,radiation_off_sensitivity,265.7,0.126264832,166.349260094,0.126264832,-0.0,-166.222995262,0.0,upcomer:-3.552713678800501e-15,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B2_realized_wallflux_roles,patch_boundary_fixed_mdot,297.5,0.286306018,183.730361327,0.286306018,0.0,-183.444055309,0.0,lower_leg:0.0,5,5,diagnostic_realized_wallflux_replay,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B3_imposed_setup_roles,patch_boundary_fixed_mdot,297.5,183.730361327,183.730361327,0.286306018,183.444055309,0.0,0.616618673,upcomer:69.618906683,2,5,diagnostic_setup_parity_replay,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N0_current_fluid_rad_off,radiation_off_sensitivity,297.5,101.647564881,183.730361327,0.286306018,101.361258863,-82.082796446,0.340710114,cooling_branch:110.47437198162773,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,radiation_off_sensitivity,297.5,41.607248176,183.730361327,0.286306018,41.320942158,-142.123113151,0.138893923,junction:42.29274832111299,5,5,diagnostic_sensitivity_only_not_cfd_parity,use_for_heat_path_diagnosis_not_predictive_claim,Compare section residuals before interpreting aggregate temperature error.
