candidate_id,lane,case_scope,isolation_basis,recirculation_status,same_qoi_uq_status,source_validity_envelope,property_mode_sensitivity_label,f3_shah_apparent_comparison,admission_decision,blocking_reasons,s11_candidate_status,source_paths
CAND-001,low_recirc_pressure_anchor,salt4_jin_q0500w_no_recirc_probe;salt4_jin_q1000w_no_recirc_probe;salt4_jin_q3x_no_recirc_probe;salt4_jin_q1500w_no_recirc_probe,lower_leg__s04;right_leg__s00,not_measured_pending_terminal_harvest,not_declared_for_candidate,blocked_terminal_state_not_ready,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,blocked_terminal_state_not_ready;terminal_ready_cases=0,not_ready,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
CAND-002,low_recirc_pressure_anchor,salt2_lo10q;salt2_hi10q;salt4_lo10q;salt4_hi10q,lower_leg__s04;right_leg__s00,not_measured_pending_terminal_harvest,not_declared_for_candidate,fallback_blocked_pending_terminal_admission_refresh,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,fallback_blocked_pending_terminal_admission_refresh;terminal_ready_cases=0,not_ready,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
CAND-003,low_recirc_pressure_anchor,component_or_junction_diagnostic_slots=18,"must be exact mesh-station labels, not proxy surfaces",not_measured_pending_terminal_harvest,not_declared_for_candidate,deferred_missing_exact_source_labels,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,deferred_missing_exact_source_labels;terminal_ready_cases=0,not_ready,work_products/2026-07/2026-07-18/2026-07-18_f6_legwise_pressure_anchor_plan/legwise_anchor_inventory.csv
CAND-004,low_recirc_pressure_anchor,salt_2;salt_3;salt_4,lower_leg__s04;right_leg__s00,not_measured_pending_terminal_harvest,not_declared_for_candidate,rejected_existing_rows_failed_reverse_flow,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,rejected_existing_rows_failed_reverse_flow;terminal_ready_cases=0,not_ready,work_products/2026-07/2026-07-18/2026-07-18_two_tap_separated_admission_review/final_gate_review.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv
PCCAR-001,current_pressure_corner_rows,salt2_mainline,apparent_cluster_only,RAF=0.763078957263;RMF=0.499996018691,fail_missing_same_qoi_UQ,no_coefficient_admission,blocked_by_S5_no_fit_release,forbidden_for_F6,not_admitted,hydrostatic_dominated_negative_available_residual_plus_material_reverse_flow_missing_same_qoi_UQ_and_apparent_cluster_isolation,not_ready,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/geometry_source_gap_recovery.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_source_page_geometry_recovery/facility_geometry_recovery.csv
PCCAR-002,current_pressure_corner_rows,salt3_mainline,apparent_cluster_only,RAF=0.763078957263;RMF=0.499987490492,fail_missing_same_qoi_UQ,no_coefficient_admission,blocked_by_S5_no_fit_release,forbidden_for_F6,not_admitted,hydrostatic_dominated_negative_available_residual_plus_material_reverse_flow_missing_same_qoi_UQ_and_apparent_cluster_isolation,not_ready,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/geometry_source_gap_recovery.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_source_page_geometry_recovery/facility_geometry_recovery.csv
PCCAR-003,current_pressure_corner_rows,salt4_mainline,apparent_cluster_only,RAF=0.763078957263;RMF=0.499990838606,fail_missing_same_qoi_UQ,no_coefficient_admission,blocked_by_S5_no_fit_release,forbidden_for_F6,not_admitted,hydrostatic_dominated_negative_available_residual_plus_material_reverse_flow_missing_same_qoi_UQ_and_apparent_cluster_isolation,not_ready,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/geometry_source_gap_recovery.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_source_page_geometry_recovery/facility_geometry_recovery.csv
F6-fine-right_leg,F6_endpoint_pair,fine,right_leg__s03->right_leg__s01,recirc_diagnostic; RAF=0.384647044082; RMF=0.499999423906,two_mesh_diagnostic_only_until_coarse_repair,diagnostic_only_no_F6_fit_no_component_K_admission,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,not_ready,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv
F6-fine-test_section_span,F6_endpoint_pair,fine,test_section_span__s03->test_section_span__s01,recirc_diagnostic; RAF=0.635638538588; RMF=0.500000662671,two_mesh_diagnostic_only_until_coarse_repair,diagnostic_only_no_F6_fit_no_component_K_admission,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,not_ready,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv
F6-medium-right_leg,F6_endpoint_pair,medium,right_leg__s03->right_leg__s01,recirc_diagnostic; RAF=0.383234365151; RMF=0.49999800105,two_mesh_diagnostic_only_until_coarse_repair,diagnostic_only_no_F6_fit_no_component_K_admission,blocked_by_S5_no_fit_release,not_evaluated_no_ordinary_candidate: F6 has zero ordinary-flow candidates and zero same-QOI admissible mesh/UQ rows,not_admitted,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,not_ready,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv
