source_id,case_id,section,section_type,reverse_flow_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,recirculation_zone_flag,recirculation_zone_count,wall_heat_flux_skew,single_stream_validity,coefficient_naming_limit,fit_use_status,provenance_author_title,source_path,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,pressure_span,0.482482,0.482482,,yes,1,1.3197318,invalid_single_stream,section_effective_only,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,pressure_span,0,0,,no,0,,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,pressure_span,0.489986,0.489986,,yes,1,,invalid_single_stream,section_effective_only,not_fit_recirculation,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,pressure_span,0,0,,no,0,,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,pressure_span,0.430488,0.430488,,yes,1,,invalid_single_stream,section_effective_only,not_fit_recirculation,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,pressure_span,0.869117,0.869117,,yes,1,,invalid_single_stream,section_effective_only,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,pressure_span,0.46239,0.46239,,yes,1,1.3213853,invalid_single_stream,section_effective_only,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,right_leg,pressure_span,0,0,,no,0,,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,pressure_span,0.690492,0.690492,,yes,1,,invalid_single_stream,section_effective_only,not_fit_recirculation,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_span,pressure_span,0,0,,no,0,,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci;reverse_metric_from_existing_observation_proxy;secondary_velocity_not_available_needs_vector_plane_extraction
