source_or_property_family,current_release_status,release_ready,protected_row_release_allowed,candidate_use_now,primary_blocker,minimal_unblock_task,runtime_legality_now,release_decision_now
Salt1 branch source envelope,blocked,no,no,diagnostic context only,missing row-specific Salt1 branch source-envelope evidence,join row-specific strict-pass source-envelope evidence before S11/S15 release,label_or_diagnostic_only,no_release
Salt2/Salt3/Salt4 mixed source envelope,blocked,no,no,diagnostic context only,mixed/outside/unknown source-envelope evidence prevents strict pass,replace mixed/outside/unknown labels with row-specific strict-pass evidence,label_or_diagnostic_only,no_release
heater source fraction and test-section source/loss,evidence_only,no,no,source-bounded residual ownership discussion,independent source allocation has not been released for prediction,independent source/property release tied to setup-known inputs,label_or_diagnostic_only,no_release
cooler/HX removal or UA,blocked,no,no,not a runtime candidate input,cooler duty or realized heat removal would be post-solve leakage,predeclared setup-known cooler model with no realized CFD duty input,label_or_diagnostic_only,no_release
passive wall and external hA/radiation,evidence_only,no,no,thermal residual attribution only,passive wall repair is not released as source-bounded candidate,runtime-legal wall basis plus row-specific source-envelope pass,label_or_diagnostic_only,no_release
fluid property mode,label_only,no,no,provenance label and gate context,property sensitivity remains material-closure fit blocked,candidate-specific property release independent of protected rows,label_or_diagnostic_only,no_release
wall/layer materials,evidence_only,no,no,wall/core temperature interpretation,runtime wall profile basis is not released,predeclared wall material/source basis with same-QOI UQ,label_or_diagnostic_only,no_release
signed wall flux and heat path,preflight_only,no,no,heat-path diagnostic and source-property blocker evidence,signed source/property heat path has not passed release gate,same-window energy residual and candidate-specific source release,label_or_diagnostic_only,no_release
S13 exchange Qwall,blocked,no,no,finite sampled-field evidence only,same-label coarse member/GCI absent; source/property release absent,"same-time same-label coarse/medium/fine bridge or admitted two-level UQ policy, then same-mask energy residual",label_or_diagnostic_only,no_release
empirical correction,diagnostic_only,no,no,bias-shape interpretation only,not a physical source/property release,convert to a physical source-bounded candidate or keep diagnostic,label_or_diagnostic_only,no_release
junction/stub source or pressure coupling,blocked,no,no,blocker localization,no independent source/property release and pressure anchors remain insufficient,low-recirculation pressure anchors plus independent source/property release,label_or_diagnostic_only,no_release
cp_J_kg_K,documented as required but exact release row not ready,false,no,no,MF16 exact-field release-ready rows are zero,row-specific cp source path/property mode/split permission and same-window QOI use,required_but_not_released,no_release
viscosity_or_property_mode,labels exist but no release-ready row,false,no,no,nominal train release-ready rows are zero,case/QOI property provenance and sensitivity label release,required_but_not_released,no_release
pressure_static_p,diagnostic rows exist but no F6 admission,false,no,no,endpoint fields ready zero for CAND001 and ordinary candidate pairs zero,terminal source and endpoint sampler/readiness row,required_but_not_released,no_release
signed_Q_wall_W,diagnostic temporal/current-coarse evidence only,false,no,no,same-label mesh/GCI and source/property release absent,active exact-label medium/fine sampler then post-sampler GCI gate,required_but_not_released,no_release
