heat_path,current_best_evidence_package,executable_status,score_admission_status,runtime_allowed_inputs,forbidden_runtime_inputs,source_property_label_status,uncertainty_status,residual_owner_policy,consumer_allowed
heater_source_to_fluid,work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/,setup_scalar_admitted,admitted_predictive_boundary_submodel,setup heater power; declared heater/source distribution; admitted train-only heater efficiency; geometry; property lane,realized CFD heater wallHeatFlux; validation temperatures; CFD mdot; hidden internal Nu correction,requires row-specific source/property labels before final scorecard,training/holdout errors recorded but broader source distribution unresolved,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_setup_boundary_consumption_only
internal_Nu,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/,diagnostic_only,not_fit_admitted,geometry; Re; Pr; Gz; hydraulic diameter; admitted wall-bulk drive; source-envelope Nu form; solved local fluid state,external heat residual; passive wall loss; radiation residual; heater or cooler error; storage; recirculation residual; CFD wallHeatFlux,requires source-envelope and same-QOI labels before any reopening,mesh/GCI and same-QOI gates remain open,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,no_fit_consumption
wall_conduction,work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/,partial_diagnostic,not_admitted_for_final_candidate,wall material; inner/outer radii or thickness; k_wall; area/perimeter; solved wall state,fit multiplier absorbing external/radiation/storage residual; realized CFD wallHeatFlux; validation wall temperatures,source/property labels required for material stack and candidate scorecards,coupled validation/holdout gates failed in current candidates,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_diagnostic_or_candidate_design_only
contact_layer_resistance,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/,partial_diagnostic,not_admitted,declared contact/layer resistance; layer thickness; k_layer; area; setup patch/layer metadata,back-solving contact from held-out residual; collapsing contact into Nu; validation temperatures,requires explicit setup layer/contact provenance before use,not independently isolated by segment,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_schema_contract_only
insulation_quartz,work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/,material_lane_exists_candidate_not_admitted,not_admitted,insulation thickness; k_insulation; quartz thickness; k_quartz; exposed area; drive selector; Ta/Tsur/emissivity/h if external path included,realized test-section wallHeatFlux; validation/holdout temperatures; legacy 37 W source as passive loss; residual fitted into Nu,material/source labels required before scoring,setup-only candidates failed or lacked accepted coupled score,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_candidate_design_after_phase_1_2
external_convection,operational_notes/maps/thermal-boundary-and-radiation.md,setup_dictionary_lane_exists_but_bridge_open,not_final_admitted_by_segment,h_ext; Ta; exposed area; drive selector; segment/patch role; coverage factor,realized CFD wallHeatFlux as predictive runtime input; validation temperatures; hidden residual multiplier; extra radiation during wallHeatFlux replay,requires external BC source labels and field provenance,segment-local wall resistance and coupled score incomplete,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_phase_1_schema
radiation,reports/2026-07/2026-07-09/2026-07-09_external_boundary_setup_reference/,embedded_in_CFD_wallHeatFlux_predictive_lane_open,not_separately_admitted,predictive mode: emissivity; Tsur; area; solved surface temperature; admitted view-factor assumption; replay mode: no extra radiation when wallHeatFlux used,adding radiation on top of CFD wallHeatFlux; claiming radiation absent; fitting radiation residual into Nu; using qr when no qr exists,requires emissivity/Tsur provenance and radiation policy label,separate qr absent from current CFD outputs,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_phase_1_schema_and_tests
jacket_cooler_removal,work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/,setup_scalar_admitted,admitted_predictive_boundary_submodel,setup cooler/HX geometry; coolant/air inlet conditions; admitted UA/effectiveness candidate; property lane,imposed CFD cooler duty as predictive input; realized cooler wallHeatFlux; internal Nu correction; validation temperatures,requires row-level source/property labels before final scoring,holdout error recorded; broader distributed/coupled review open,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,yes_for_setup_boundary_consumption_only
storage,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/,excluded_from_current_steady_runtime,not_admitted,none in present steady model; future transient lane needs rho_cp_volume; wall temperature time derivative; time-window metadata,using storage to tune steady fit; erasing storage residual via Nu; unlogged time-window drift,future lane requires transient/source-property labels,no admitted solid-energy transient uncertainty,forbidden runtime absorption; named owner lane only; never hide unresolved heat in internal Nu or runtime residual,no_runtime_consumption
residual,work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/,diagnostic_scoring_output_only,not_admitted_as_closure,none as a closure; residual tolerance and ledger ownership labels only,runtime residual as fitted heat path; residual hidden in internal Nu; residual used as training target without owner; validation heat targets at runtime,owner labels required; never a source/property closure,uncertainty unresolved until owners split by path,forbidden runtime closure; diagnostic blocker accounting only; not a runtime closure,yes_for_blocker_tracking_only
