parent_segment,subsegment_count,mapped_source_families,baseline_mapped_hA_W_K,baseline_Q_ambient_W,baseline_Q_ambient_share,fixed_state_Q_change_for_hA_0.5_W,observed_global_qambient_delta_allocated_by_baseline_Q_share_W,Q_weighted_Tavg_K,attribution_basis,claim_boundary
right_vertical,10,downcomer,2.171942261718,127.53027483267951,0.4422317165969761,-63.765137416339755,-4.798444561609087,358.1930128899733,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline,10,lower_leg,0.6536064649713991,41.79567728826843,0.14493322575972248,-20.897838644134215,-1.5726010207834058,363.8076670361665,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_lower_vertical,4,upcomer,0.37270828838345194,27.55369165614918,0.0955468525075287,-13.77684582807459,-1.0367331369211696,373.128009056813,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_upper_vertical,4,upcomer,0.37270828838345194,27.35524408480081,0.09485870367191275,-13.677622042400404,-1.029266363476586,372.5954917262584,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
test_section,2,,0.0,14.299793847467026,0.049586832526199075,-7.149896923733513,-0.5380429714398001,372.8675545213034,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
top_horizontal_inlet,1,cooling_branch;junction,0.13512165086318204,9.638772276030348,0.0334239914021103,-4.819386138015174,-0.3626677231676009,370.523536301862,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_pre_hx,4,cooling_branch,0.13175901797873377,9.25923811196475,0.03210789571344235,-4.629619055982375,-0.3483873991590875,369.46510804034193,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
top_horizontal_exit,1,cooling_branch;junction,0.13512165086318204,9.005982251579724,0.031229690330263682,-4.502991125789862,-0.33885841313945764,365.84045541895165,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_post_hx,4,cooling_branch,0.13175901797873377,8.913902069827842,0.03091038750672533,-4.456951034913921,-0.3353938111228855,366.8441010656929,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
bottom_horizontal_exit,1,junction,0.1021818963684986,7.757250790276093,0.026899513370906524,-3.8786253951380467,-0.2918737367772051,375.1056917455885,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
bottom_horizontal_inlet,1,junction,0.1021818963684986,5.269024977406499,0.018271190614212694,-2.6345124887032494,-0.19825193885130626,350.754876113843,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_hx_active,4,,0.0,0.0,0.0,-0.0,-0.0,,baseline heat ledger share; fixed-state estimate is not a rerun,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
