guardrail,value
native_output_mutation,False
registry_or_admission_mutation,False
scheduler_action,False
solver_postprocessing_sampler_harvest_uq_launch,False
Fluid_or_external_repo_mutation,False
thesis_current_or_latex_edit,False
validation_holdout_external_scoring,False
fitting_or_model_selection,False
source_property_release,False
runtime_wallHeatFlux_or_validation_temperature_release,False
coefficient_admission,False
candidate_freeze,False
s11_s12_s13_s15_s6_trigger,False
residual_absorbed_into_internal_nu,False
