case_id,physical_role,residual_owner,row_count,diagnostic_wallHeatFlux_W_sum,diagnostic_heat_to_fluid_W_sum,runtime_use,quality_flags
salt_2,intended_cooler_removal,cooler_hx_removal,1,-136.3507,-136.3507,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_2,intended_heater_input,heater_source_storage_gap,1,243.5191,243.5191,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_2,intended_test_section_input_actual_net_sink_possible,test_section_source_loss,1,-5.6798,-5.6798,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output
salt_2,junction_other_loss_or_gain,junction_stub_heat,1,-39.1283,-39.1283,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
salt_2,passive_ambient_loss_or_gain,passive_wall_external,4,-62.2338,-62.2338,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
salt_3,intended_cooler_removal,cooler_hx_removal,1,-150.7696,-150.7696,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_3,intended_heater_input,heater_source_storage_gap,1,273.1554,273.1554,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_3,intended_test_section_input_actual_net_sink_possible,test_section_source_loss,1,-10.545,-10.545,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output
salt_3,junction_other_loss_or_gain,junction_stub_heat,1,-43.2347,-43.2347,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
salt_3,passive_ambient_loss_or_gain,passive_wall_external,4,-68.3198,-68.3198,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
salt_4,intended_cooler_removal,cooler_hx_removal,1,-169.2268,-169.2268,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_4,intended_heater_input,heater_source_storage_gap,1,310.4871,310.4871,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;no_qr_radiation_output
salt_4,intended_test_section_input_actual_net_sink_possible,test_section_source_loss,1,-16.7687,-16.7687,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output
salt_4,junction_other_loss_or_gain,junction_stub_heat,1,-48.4852,-48.4852,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
salt_4,passive_ambient_loss_or_gain,passive_wall_external,4,-75.9271,-75.9271,diagnostic_only_for_traceability_forbidden_as_predictive_input,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
