evidence_id,source_table,case_key,split_role,branch_id,location_or_span,reverse_area_fraction,reverse_mass_fraction,Ri,allowed_label_now,invalid_single_stream_labels,ordinary_pipe_fit_allowed,admission_class,reason,source_path
salt2_lo5q:upcomer_inlet:left_lower_leg,current_evidence_recirculation_classification,salt2_lo5q,holdout,upcomer_left_vertical,upcomer_inlet,0.6177451405,0.5000044571,70.00886497,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_mid:test_section_span,current_evidence_recirculation_classification,salt2_lo5q,holdout,upcomer_left_vertical,upcomer_mid,0.3692928784,0.5000060995,45.11688157,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,current_evidence_recirculation_classification,salt2_lo5q,holdout,upcomer_left_vertical,upcomer_outlet,0.7901396438,0.5000621677,23.79729264,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,current_evidence_recirculation_classification,salt2_hi5q,holdout,upcomer_left_vertical,upcomer_inlet,0.6096763649,0.4999936722,54.20195191,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_mid:test_section_span,current_evidence_recirculation_classification,salt2_hi5q,holdout,upcomer_left_vertical,upcomer_mid,0.3748113482,0.4999916556,78.04208245,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,current_evidence_recirculation_classification,salt2_hi5q,holdout,upcomer_left_vertical,upcomer_outlet,0.785845516,0.5000672828,108.7458056,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,current_evidence_recirculation_classification,salt4_lo5q,training,upcomer_left_vertical,upcomer_inlet,0.5466041262,0.5000026995,16.86404752,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_mid:test_section_span,current_evidence_recirculation_classification,salt4_lo5q,training,upcomer_left_vertical,upcomer_mid,0.3764033442,0.4999969289,29.72248589,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_outlet:left_upper_leg,current_evidence_recirculation_classification,salt4_lo5q,training,upcomer_left_vertical,upcomer_outlet,0.7765350946,0.5000757768,25.44596167,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,current_evidence_recirculation_classification,salt4_hi5q,training,upcomer_left_vertical,upcomer_inlet,0.5228637749,0.4999749795,47.1734398,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q:upcomer_mid:test_section_span,current_evidence_recirculation_classification,salt4_hi5q,training,upcomer_left_vertical,upcomer_mid,0.3778960681,0.4999891842,28.86760099,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q:upcomer_outlet:left_upper_leg,current_evidence_recirculation_classification,salt4_hi5q,training,upcomer_left_vertical,upcomer_outlet,0.7762644,0.5001364439,91.3338926,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,no,recirculation_hybrid_onset_lane_only,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt_2:left_lower_leg__s00->left_upper_leg__s04,current_evidence_recirculation_classification,salt2_mainline,hydraulic_raw_tap_diagnostic,test_section,test_section_complex,0.837962963,,,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,K; f_D,no,section_effective_pressure_diagnostic_only,coarse-only p_rgh proxy with material reverse-area proxies; no true component-K admission,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
salt_3:left_lower_leg__s00->left_upper_leg__s04,current_evidence_recirculation_classification,salt3_mainline,hydraulic_raw_tap_diagnostic,test_section,test_section_complex,0.8302469136,,,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,K; f_D,no,section_effective_pressure_diagnostic_only,coarse-only p_rgh proxy with material reverse-area proxies; no true component-K admission,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
salt_4:left_lower_leg__s00->left_upper_leg__s04,current_evidence_recirculation_classification,salt4_mainline,hydraulic_raw_tap_diagnostic,test_section,test_section_complex,0.8287037037,,,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,K; f_D,no,section_effective_pressure_diagnostic_only,coarse-only p_rgh proxy with material reverse-area proxies; no true component-K admission,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
corrected_pm5_salt2_salt4::upcomer_matched_planes,f6_fit_candidate_table,corrected_pm5_salt2_salt4,mixed_training_holdout,upcomer_left_vertical,upcomer_matched_planes,,,,,,no,recirculation_hybrid_onset_lane_only,,
salt2_lo5q:upcomer_inlet:left_lower_leg,internal_nu_h_proxy_review,salt2_lo5q,holdout,upcomer_left_vertical,left_lower_leg,0.6177451405,0.5000044571,70.00886497,Nu_section_effective_upcomer_diagnostic,,no,recirculation_hybrid_onset_lane_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_mid:test_section_span,internal_nu_h_proxy_review,salt2_lo5q,holdout,upcomer_left_vertical,test_section_span,0.3692928784,0.5000060995,45.11688157,Nu_section_effective_upcomer_diagnostic,,no,recirculation_hybrid_onset_lane_only,q''/(Twall-Tbulk) is non-positive under the current sign convention.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,internal_nu_h_proxy_review,salt2_lo5q,holdout,upcomer_left_vertical,left_upper_leg,0.7901396438,0.5000621677,23.79729264,Nu_section_effective_upcomer_diagnostic,,no,recirculation_hybrid_onset_lane_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
