case_key,evidence_family,availability,admission_use,runtime_use_allowed,source_path
salt2_lo10q,terminal_mdot_drift,available,terminal gate and future holdout evidence planning,no,work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv
salt2_lo10q,steady_window_temperatures_and_total_Q,available_with_total_Q_drift_label,diagnostic context; heat source release remains forbidden,no,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/stats.csv
salt2_lo10q,upcomer_U_T_wall_plane_recirculation,available,recirculation diagnostic and ordinary-closure blocker,no,work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_upcomer_anchor_classification.csv
salt2_lo10q,split_policy,available,future holdout planning only,no,work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv
salt2_lo10q,pressure_ladder_streamwise_maps,not_built_in_this_row,next executable analysis before pressure-form claims,no,
salt2_lo10q,heat_loss_ledger,not_built_in_this_row,next executable analysis before thermal/source claims,no,
salt2_hi10q,terminal_mdot_drift,available,terminal gate and future holdout evidence planning,no,work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv
salt2_hi10q,steady_window_temperatures_and_total_Q,available_with_total_Q_drift_label,diagnostic context; heat source release remains forbidden,no,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/stats.csv
salt2_hi10q,upcomer_U_T_wall_plane_recirculation,available,recirculation diagnostic and ordinary-closure blocker,no,work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_upcomer_anchor_classification.csv
salt2_hi10q,split_policy,available,future holdout planning only,no,work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv
salt2_hi10q,pressure_ladder_streamwise_maps,not_built_in_this_row,next executable analysis before pressure-form claims,no,
salt2_hi10q,heat_loss_ledger,not_built_in_this_row,next executable analysis before thermal/source claims,no,
salt4_lo10q,terminal_mdot_drift,available,terminal gate and future holdout evidence planning,no,work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv
salt4_lo10q,steady_window_temperatures_and_total_Q,available_with_total_Q_drift_label,diagnostic context; heat source release remains forbidden,no,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/stats.csv
salt4_lo10q,upcomer_U_T_wall_plane_recirculation,available,recirculation diagnostic and ordinary-closure blocker,no,work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_upcomer_anchor_classification.csv
salt4_lo10q,split_policy,available,future holdout planning only,no,work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv
salt4_lo10q,pressure_ladder_streamwise_maps,not_built_in_this_row,next executable analysis before pressure-form claims,no,
salt4_lo10q,heat_loss_ledger,not_built_in_this_row,next executable analysis before thermal/source claims,no,
salt4_hi10q,terminal_mdot_drift,available,terminal gate and future holdout evidence planning,no,work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv
salt4_hi10q,steady_window_temperatures_and_total_Q,available_with_total_Q_drift_label,diagnostic context; heat source release remains forbidden,no,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/stats.csv
salt4_hi10q,upcomer_U_T_wall_plane_recirculation,available,recirculation diagnostic and ordinary-closure blocker,no,work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_upcomer_anchor_classification.csv
salt4_hi10q,split_policy,available,future holdout planning only,no,work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv
salt4_hi10q,pressure_ladder_streamwise_maps,not_built_in_this_row,next executable analysis before pressure-form claims,no,
salt4_hi10q,heat_loss_ledger,not_built_in_this_row,next executable analysis before thermal/source claims,no,
