path,role,read_only
work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv,previous readiness and pre-terminal split context,yes
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv,post-harvest terminal status table,yes
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/terminal_monitor_after_3293924/live_salt_sanity_monitor.csv,legacy terminal monitor context,yes
work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv,strict terminal drift and log gate,yes
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv,canonical final split legality,yes
work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_upcomer_anchor_classification.csv,PM10 upcomer recirculation classification,yes
work_products/2026-07/2026-07-20/2026-07-20_pm10_upcomer_anchor_admission/pm10_model_use_gate.csv,PM10 upcomer model-use gate,yes
work_products/2026-07/2026-07-20/2026-07-20_upcomer_onset_blocker_execution/upcomer_anchor_admission_ledger_pm10_resolved.csv,recirculation/onset blocker ledger,yes
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/stats.csv,salt2_lo10q representative steady-window metrics,yes
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/stats.csv,salt2_hi10q representative steady-window metrics,yes
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/stats.csv,salt4_lo10q representative steady-window metrics,yes
work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/cases/modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/stats.csv,salt4_hi10q representative steady-window metrics,yes
