result_id,topic,current_decision_or_status,key_numbers_or_counts,thesis_safe_statement,blocked_or_not_admitted_reason,primary_sources
R-Pressure-001,Pressure F6/CAND-001,cand001_retry_runbook_recommended_no_launch_no_f6_scoring,"ordinary admissible F6 rows: 0; fits/admitted rows: 0","Current lower-right pressure evidence is section-effective diagnostic evidence, not a negative loss coefficient and not admitted F6/component-K closure.","CAND-001 is retryable as source recovery only; endpoint fields and ordinary-flow/UQ gates are not sufficient for F6 scoring.",work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/README.md
R-Pressure-002,Pressure basis separation,context_only,"gross static pressure is hydrostatic-dominated context","Pressure results should separate hydrostatic/static basis context from local irreversible loss or component-K basis.","Gross static rise must not be normalized as local irreversible loss.",work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv
R-Thermal-001,S12 thermal residual candidate disposition,s12_attempted_rigorously_no_candidate_freeze_allowed,"candidate disposition rows: 5; train-only metric rows: 5; no-freeze blocker rows: 8; candidate-reviewable rows: 0; validation/holdout/external scored rows: 0; final score values: 0","S12 is thesis-strength negative evidence: the residual-owner path was tested and no runtime-legal candidate can be frozen or admitted from current evidence.","Exchange-state, same-QOI UQ, source/property release, and attribution-freeze gates remain closed.",work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/README.md
R-Thermal-002,S12-HIAX1 physical hypothesis,diagnostic_physical_hypothesis_allowed,"finite train-only precursor metrics exist for S12-HIAX1","S12-HIAX1 can be described as the best named physical residual-owner hypothesis for TW5/TW6, not as an implemented final candidate.","No freeze/admission or protected scoring is allowed from the current evidence.",work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/s12_thesis_claim_boundary.csv
R-Upcomer-001,S13 limited sampled-field evidence,diagnostic_only_thesis_ready_production_harvest_blocked,"cases synthesized: 3; finite exchange rows: 3; diagnostic-ready gate rows: 15; production-ready gate rows: 0; blocked production gate rows: 15","Limited sampled-field extraction produced finite Salt2/Salt3/Salt4 diagnostics and supports the need for a recirculation-aware path.","Production harvest, exchange coefficient admission, source/property release, and Qwall admission remain blocked.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/README.md
R-Upcomer-002,S13 Qwall/exchange UQ gate,blocked_missing_same_label_mesh_family,"Q_wall temporal UQ max abs 0.0010252426 W and max relative 0.00364554244946 percent; accepted same-label GCI rows: 0; same-label mesh family rows: 0","Same-QOI temporal UQ exists for Q_wall_W, but mesh/GCI evidence is absent, so Qwall cannot be admitted or used as a predictive runtime input.","No same-label mesh family or accepted GCI rows exist for Q_wall_W.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv
R-Upcomer-003,S13 exchange mdot proxy UQ gate,blocked_missing_same_label_mesh_family,"mdot_exchange temporal UQ max abs 6.157475194e-07 kg/s and max relative 0.803956787612 percent; accepted same-label GCI rows: 0","Same-QOI temporal UQ exists for the exchange mdot proxy, but production/admission remains blocked.","No same-label mesh family or accepted GCI rows exist for exchange mdot proxy.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv
R-Upcomer-004,S13 residence-time proxy UQ gate,blocked_missing_same_label_mesh_family,"tau_recirc temporal UQ max abs 6.38606992 s and max relative 0.808752828051 percent; accepted same-label GCI rows: 0","Same-QOI temporal UQ exists for the residence-time proxy, but production/admission remains blocked.","No same-label mesh family or accepted GCI rows exist for residence-time proxy.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv
R-Upcomer-005,S13 wall/core/bulk temperature contrast UQ gate,blocked_missing_same_label_mesh_family,"temperature-contrast temporal UQ max abs 0.000209096863 K and max relative 0.122613775443 percent; accepted same-label GCI rows: 0","Same-QOI temporal UQ exists for wall/core/bulk contrast, but production/admission remains blocked.","No same-label mesh family or accepted GCI rows exist for wall/core/bulk contrast.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv
R-Upcomer-006,Matched side-Z upcomer velocity visuals,paper_panels_ready_diagnostic_only_no_single_stream_closure,"shared y-velocity color range: -0.07702504843473434 to 0.07702504843473434 m/s; shared magnitude color range: 0.0 to 0.07704159866519554 m/s; rendered max down Uy Salt1/Salt2/Salt3/Salt4: 0.068/0.069/0.072/0.077 m/s","The matched side-Z visuals support rejecting ordinary single-stream upcomer closure for current recirculating rows.","The image is qualitative diagnostic evidence; it does not admit exchange-cell coefficients, ordinary upcomer Nu/f_D/K, or a final predictive model.",work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md
R-Scorecard-001,Frozen runtime-legal candidate gate,no_frozen_runtime_legal_candidate,"S8/S12: no thermal repair candidate released; S13: production harvest not ready; S14: 0 admitted rows and 0 fits; S6: blocked scorecard shell; protected rows touched: 0","The final predictive scorecard remains a shell because no single frozen runtime-legal candidate has been released.","No final score values should be reported until a candidate passes source/property, uncertainty, split, and runtime-legality gates.",work_products/2026-07/2026-07-22/2026-07-22_thesis_n1_frozen_runtime_legal_candidate_gate/blocked_scorecard_logic.csv
