claim_id,topic,allowed_claim,forbidden_claim,why_it_matters,source_path
CB-Pressure-001,Pressure closure,"The current lower-right pressure rows fail ordinary component-K admission gates.","The lower-right evidence is a negative loss coefficient or admitted component K.","Prevents clipped/global multiplier or basis-mismatched component-loss overclaim.",work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv
CB-Pressure-002,Pressure model form,"The signed residual is section-effective recirculating pressure evidence.","The signed residual is an admitted component K, cluster K, F6 closure, or hidden global multiplier.","Keeps diagnostic pressure evidence useful while preventing predictive closure admission.",work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv
CB-Pressure-003,Pressure comparison,"No numeric F3/Shah comparison is made until an ordinary admissible F6 row exists.","F6 fixed the pressure model or beats F3/Shah.","Avoids comparing a blocked diagnostic row as if it were an admitted candidate.",work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv
CB-Thermal-001,S12 residual owner,"S12-HIAX1 remains the best named physical residual-owner hypothesis for TW5/TW6.","S12-HIAX1 is an implemented frozen candidate or final predictive score.","Lets the thesis discuss physical residual ownership without claiming admission.",work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/s12_thesis_claim_boundary.csv
CB-Thermal-002,S12 runtime legality,"No S12 candidate can be frozen or admitted from the current evidence.","The remaining S12 residual can be hidden inside internal Nu.","Preserves runtime-leakage discipline and prevents residual absorption into an internal Nu fit.",work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/s12_thesis_claim_boundary.csv
CB-Thermal-003,Empirical thermal lanes,"Empirical correction coefficients are diagnostic comparisons only.","Empirical correction coefficients are physical thermal closures.","Prevents train-only empirical improvement from being promoted to physics or predictive admission.",work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/s12_thesis_claim_boundary.csv
CB-Upcomer-001,S13 sampled fields,"Limited sampled-field extraction produced finite interface U/T/rho and wall/core temperature diagnostics for Salt2, Salt3, and Salt4.","The S13 exchange coefficient, Q_wall_W, production harvest, and source/property release are admitted.","Allows model-form discussion without admitting the recirculation exchange lane.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_thesis_claim_boundary.csv
CB-Upcomer-002,S13 downstream triggers,"The source-side heat-flow path is the smallest remaining unblock path, but it must remain a distinct QOI.","The S13 diagnostic rows may trigger S11/S12/S13/S15/S6 scoring or freeze.","Prevents a diagnostic unblock path from becoming a hidden predictive input.",work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_thesis_claim_boundary.csv
CB-Upcomer-003,Upcomer visuals,"Matched velocity visuals support a recirculation-aware model-form argument.","The velocity-arrow figure admits an ordinary upcomer Nu, f_D, K, exchange coefficient, or final predictive model.","Keeps the Salt visual figure in the correct evidentiary role.",work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/velocity_magnitude_side_z_thesis_analysis.md
CB-Scorecard-001,Final scorecard,"The final predictive scorecard remains blocked because no frozen runtime-legal candidate exists.","Final prediction values or validation/holdout/external scores exist for a released candidate.","Avoids creating a final-score claim before freeze and split-safe release.",work_products/2026-07/2026-07-22/2026-07-22_thesis_n1_frozen_runtime_legal_candidate_gate/blocked_scorecard_logic.csv
CB-Runtime-001,Runtime leakage,"Predictive runtime claims must not use CFD mdot, realized CFD wallHeatFlux, imposed CFD cooler duty, validation temperatures, holdout rows, or external-test rows as hidden inputs.","Diagnostic CFD fields can be used directly as predictive runtime inputs.","This is a central methodological contribution and must be repeated in Ch7/Ch8.",../papers/UTexas_Research/csem-Masters_dissertation/evidence/writer_guardrails.md
