source_id,source_path,evidence_topic,evidence_role,target_chapter_section,copy_policy
pressure_f6_gate,work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/README.md,Pressure F6 CAND-001 retry and UQ gate,"Pressure non-admission; lower-right section-effective diagnostic evidence; future retry runbook",Ch7 pressure negative results and Ch8 blocked predictive path,do_not_copy_raw_sources_use_packet_summary
pressure_claim_boundary,work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv,Pressure claim boundaries,"Allowed/forbidden pressure claims including no component-K/F6 admission",Ch7 pressure negative results,copy_compact_ledger_summary_only
pressure_s11_decision,work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/s11_decision.csv,Pressure downstream decision,S11/S15/S6 remain blocked by no admitted F6 row,Ch8 predictive assessment,copy_compact_ledger_summary_only
s12_disposition,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/README.md,Thermal residual candidate disposition,"S12 attempted rigorously; no candidate freeze or admission",Ch7 thermal negative results and Ch8 blocked scorecard,do_not_copy_raw_sources_use_packet_summary
s12_claim_boundary,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/s12_thesis_claim_boundary.csv,Thermal claim boundaries,"S12-HIAX1 physical hypothesis allowed; no frozen candidate or final score",Ch7 thermal residual-owner section,copy_compact_ledger_summary_only
s12_panel_handoff,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/thesis_panel_handoff.md,Thermal figure/table handoff,"Residual-owner waterfall and no-freeze table targets",Ch7 results figures/tables,copy_compact_ledger_summary_only
s13_sampled_field_synthesis,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/README.md,Upcomer exchange sampled-field synthesis,"Diagnostic Salt2/Salt3/Salt4 finite exchange evidence; production harvest blocked",Ch7 upcomer recirculation evidence and Ch8 predictive blockers,do_not_copy_raw_sources_use_packet_summary
s13_claim_boundary,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_thesis_claim_boundary.csv,Upcomer claim boundaries,"Finite diagnostics allowed; exchange coefficient and Qwall production admission forbidden",Ch7 upcomer model-form evidence,copy_compact_ledger_summary_only
s13_mesh_gci_gate,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,Upcomer QOI UQ and mesh/GCI gate,"Temporal UQ exists for selected QOIs; same-label mesh/GCI rows are absent; production/admission blocked",Ch8 uncertainty and blocked predictive path,copy_compact_ledger_summary_only
s13_source_side_gate,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_source_side_conservation_neighbor_uq_gate/harvest_admission_decision.csv,Upcomer source-side gate,"Do not run production harvest; clean negative/blocked result available if no new inputs land",Ch8 blocked scorecard and future work,copy_compact_ledger_summary_only
n1_frozen_candidate_gate,work_products/2026-07/2026-07-22/2026-07-22_thesis_n1_frozen_runtime_legal_candidate_gate/README.md,Frozen runtime-legal candidate gate,"No frozen runtime-legal candidate; final scorecard remains blocked shell",Ch8 predictive model assessment,copy_compact_ledger_summary_only
n1_blocked_scorecard,work_products/2026-07/2026-07-22/2026-07-22_thesis_n1_frozen_runtime_legal_candidate_gate/blocked_scorecard_logic.csv,Blocked final scorecard logic,"Protected rows untouched; no final score values",Ch8 final predictive assessment,copy_compact_ledger_summary_only
n2_upcomer_panels,work_products/2026-07/2026-07-22/2026-07-22_thesis_n2_upcomer_exchange_qwall_uq_paper_panels/README.md,Upcomer paper panel synthesis,"Paper panels ready as diagnostic-only no-single-stream evidence",Ch7 upcomer figure/table package,copy_compact_ledger_summary_only
n3_thermal_ablation,work_products/2026-07/2026-07-22/2026-07-22_thesis_n3_thermal_residual_owner_train_ablation/README.md,Thermal residual-owner train ablation,"Train-only residual-owner ablation complete; no candidate release",Ch7 thermal results and Ch8 predictive path,copy_compact_ledger_summary_only
upcomer_velocity_visuals,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md,Matched Salt upcomer side-Z velocity visuals,"Qualitative diagnostic CFD evidence for recirculation-aware model form",Ch7 upcomer visualization figure,do_not_copy_large_pdfs_use_paths_and_small_composites_if_needed
upcomer_visual_analysis,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/velocity_magnitude_side_z_thesis_analysis.md,Upcomer visual interpretation,"Rendered-source velocity extrema and caption boundaries",Ch7 upcomer visualization caption and discussion,copy_compact_ledger_summary_only
