job_id,job_name,state,exit_code,elapsed,submit,start,end,node_list,forward_v1_role,interpretation,next_action
3293924,saltq_sel_cont,RUNNING,0:0,1-15:08:02,2026-07-13T17:03:55,2026-07-13T17:03:56,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3293924.batch,batch,RUNNING,0:0,1-15:08:02,2026-07-13T17:03:56,2026-07-13T17:03:56,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3293924.0,foamRun,RUNNING,0:0,1-15:07:39,2026-07-13T17:04:19,2026-07-13T17:04:19,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3293924.1,foamRun,RUNNING,0:0,1-15:07:39,2026-07-13T17:04:19,2026-07-13T17:04:19,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3293924.2,foamRun,RUNNING,0:0,1-15:07:39,2026-07-13T17:04:19,2026-07-13T17:04:19,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3293924.3,foamRun,RUNNING,0:0,1-15:07:39,2026-07-13T17:04:19,2026-07-13T17:04:19,Unknown,c318-016,corrected_q_continuation,Corrected-Q Salt2/Salt4 continuation is still running; downstream harvest cannot admit it yet.,monitor_until_terminal
3295120,idv75667,RUNNING,0:0,21:25:31,2026-07-14T10:46:25,2026-07-14T10:46:27,Unknown,c318-008,current_compute_node_allocation,Compute node allocation is running; prior shell substeps include two failed probes and one completed probe.,monitor_until_terminal
3295120.batch,batch,RUNNING,0:0,21:25:31,2026-07-14T10:46:27,2026-07-14T10:46:27,Unknown,c318-008,current_compute_node_allocation,Compute node allocation is running; prior shell substeps include two failed probes and one completed probe.,monitor_until_terminal
3295120.0,bash,FAILED,1:0,00:02:23,2026-07-14T17:45:31,2026-07-14T17:45:31,2026-07-14T17:47:54,c318-008,current_compute_node_allocation,Compute node allocation is running; prior shell substeps include two failed probes and one completed probe.,read_only_monitor_only
3295120.1,bash,FAILED,1:0,00:03:42,2026-07-14T17:54:41,2026-07-14T17:54:41,2026-07-14T17:58:23,c318-008,current_compute_node_allocation,Compute node allocation is running; prior shell substeps include two failed probes and one completed probe.,read_only_monitor_only
3295120.2,bash,COMPLETED,0:0,00:02:17,2026-07-14T17:59:12,2026-07-14T17:59:12,2026-07-14T18:01:29,c318-008,current_compute_node_allocation,Compute node allocation is running; prior shell substeps include two failed probes and one completed probe.,intake_completed_probe_if_relevant
3295438,saltq_s24_sel_harv,PENDING,0:0,00:00:00,2026-07-14T13:39:11,Unknown,Unknown,None assigned,corrected_q_dependency_harvest,Dependency-held corrected-Q harvester is not yet terminal.,wait_on_dependency
3295901,upc_pm5q,CANCELLED by 890970,0:0,00:00:00,2026-07-14T16:50:37,None,2026-07-14T17:35:03,None assigned,pm5_matched_pressure_upcomer,PM5 matched-pressure/upcomer job was cancelled before producing admissible evidence.,diagnose_cancelled_job_before_relaunch
3295989,hyd_stage,PENDING,0:0,00:00:00,2026-07-14T17:56:40,Unknown,Unknown,None assigned,hydraulic_raw_two_tap_stage,AGENT-373 hydraulic chain stage 1 is pending dependency.,wait_on_dependency
3295990,hyd_stage,PENDING,0:0,00:00:00,2026-07-14T17:56:46,Unknown,Unknown,None assigned,hydraulic_f6_gate_stage,AGENT-373 hydraulic chain stage 2 waits on stage 1 success.,wait_on_dependency
3295991,hyd_stage,PENDING,0:0,00:00:00,2026-07-14T17:56:53,Unknown,Unknown,None assigned,hydraulic_reset_k_stage,AGENT-373 hydraulic chain stage 3 waits on stage 2 success.,wait_on_dependency
