case_id,candidate_id,engine,segment_name,parent_segment,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,upcomer_exchange_Q_main_to_reservoir_W,upcomer_exchange_Q_reservoir_to_main_W,upcomer_exchange_reservoir_energy_residual_W,upcomer_main_stream_temperature_K,upcomer_reservoir_temperature_K,upcomer_prediction_stream
salt_2,UMX1_disabled_baseline,fast_scan,left_lower_vertical__s00,left_lower_vertical,0,0.121412,546.821022112,546.557605762,546.689313937,0,0,8.21033025251,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,546.557605762,546.423213733,546.490409747,0,0,4.1888303963,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,546.423213733,546.288935418,546.356074575,0,0,4.18528606601,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,546.288935418,546.026397796,546.157666607,0,0,8.18294157751,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,test_section__s00,test_section,0.364236,0.4572,546.026397796,546.137586969,546.081992383,18.5,0,15.0343923396,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,test_section__s01,test_section,0.4572,0.550164,546.137586969,546.248526553,546.193056761,18.5,0,15.0421716507,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,546.248526553,545.986055597,546.117291075,0,0,8.18086368605,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,545.986055597,545.852146799,545.919101198,0,0,4.17376872894,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,545.852146799,545.718351074,545.785248936,0,0,4.17024440675,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,545.718351074,545.456753911,545.587552492,0,0,8.15362884908,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,top_horizontal_inlet,top_horizontal_inlet,0.9144,0.9398,545.456753911,545.402227177,545.429490544,0,0,1.69953299521,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.9398,1.0414,545.402227177,545.18119365,545.291710414,0,0,6.88932212369,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,1.0414,1.143,545.18119365,544.960468132,545.070830891,0,0,6.87972192457,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,1.143,1.1684,544.960468132,544.903400953,544.931934542,0,0,1.77871548716,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,1.1684,1.2446,544.903400953,544.737144026,544.82027249,0,0,5.18201504396,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_hx_active__s00,cooled_incline_hx_active,1.2446,1.3462,544.737144026,544.138256981,544.437700503,0,18.6666057366,0,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_hx_active__s01,cooled_incline_hx_active,1.3462,1.397,544.138256981,543.792756298,543.965506639,0,10.7688532657,0,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_hx_active__s02,cooled_incline_hx_active,1.397,1.4478,543.792756298,543.47195121,543.632353754,0,9.99912065897,0,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_hx_active__s03,cooled_incline_hx_active,1.4478,1.5494,543.47195121,543.012046534,543.241998872,0,14.3346908422,0,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_post_hx__s00,cooled_incline_post_hx,1.5494,1.6256,543.012046534,542.847770402,542.929908468,0,0,5.12027632567,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_post_hx__s01,cooled_incline_post_hx,1.6256,1.651,542.847770402,542.791464907,542.819617654,0,0,1.75497474109,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_post_hx__s02,cooled_incline_post_hx,1.651,1.7526,542.791464907,542.574053899,542.682759403,0,0,6.77641335393,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,cooled_incline_post_hx__s03,cooled_incline_post_hx,1.7526,1.8542,542.574053899,542.356943024,542.465498462,0,0,6.76705860144,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,top_horizontal_exit,top_horizontal_exit,1.8542,1.8796,542.356943024,542.303475642,542.330209333,0,0,1.66651431362,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s00,right_vertical,1.8796,2.01022857143,542.303475642,542.028613736,542.166044689,0,0,8.56706958881,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s01,right_vertical,2.01022857143,2.1082,542.028613736,541.821071911,541.924842824,0,0,6.46880548067,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s02,right_vertical,2.1082,2.14085714286,541.821071911,541.749336235,541.785204073,0,0,2.23591413414,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s03,right_vertical,2.14085714286,2.27148571429,541.749336235,541.475440852,541.612388543,0,0,8.53694451422,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s04,right_vertical,2.27148571429,2.3368,541.475440852,541.33577512,541.405607986,0,0,4.35320431768,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s05,right_vertical,2.3368,2.40211428571,541.33577512,541.196233877,541.266004498,0,0,4.34932415173,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s06,right_vertical,2.40211428571,2.53274285714,541.196233877,540.923301298,541.059767587,0,0,8.50693533697,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s07,right_vertical,2.53274285714,2.5654,540.923301298,540.851976887,540.887639092,0,0,2.22309549952,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s08,right_vertical,2.5654,2.66337142857,540.851976887,540.645985806,540.748981347,0,0,6.4204709623,0,0,0,,,
