case_id,candidate_id,runtime_field,runtime_value,field_class,runtime_allowed,audit_status,source_path,notes
salt_2,UMX1_disabled_baseline,fluid_case_name,Salt 2,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,heater_power_W,265.7,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,test_section_power_W,37,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,air_T_inlet_K,299.19,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,air_flow_Lpm,37,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,boundary_ambient_Ta_K,299.19,setup_input,true,pass,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,radiation_on,false,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,insulation_thickness_in,1,setup_input,true,pass,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,mdot_search_lower_kg_s,0.005,setup_input,true,pass,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,Runtime setup/model input only.
salt_2,UMX1_disabled_baseline,mdot_search_upper_kg_s,0.05,setup_input,true,pass,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/research_plan.md,Runtime setup/model input only.
